,weight
SMCI,0.08729374260405291
NVDA,0.07205761706818105
ORCL,0.06619612761174942
META,0.06000953503016504
GE,0.05807679876682813
CCL,0.05778524172007149
BLDR,0.05729624351137319
PHM,0.056181616616153104
RCL,0.055744966881422046
PANW,0.04950142538307563
AMZN,0.0464055274414961
AMD,0.045986576758695774
TSLA,0.04400354895557765
CRM,0.04393133352651043
NCLH,0.043539601357388595
ALGN,0.038467232668177344
TTD,0.03842524550498475
CHTR,0.02915583297909173
GNRC,0.028631387649995028
ALB,0.021310397965010643
