,weight
SMCI,0.2721927255191231
NVDA,0.14528524846551572
RCL,0.12043852788578154
NCLH,0.09608341171921025
DECK,0.07229282113890013
GE,0.059038032970285315
TSLA,0.050499532014556314
META,0.03705003940428236
CCL,0.034136718391545515
TTD,0.032916628901516476
ALGN,0.03163347793228398
CAH,0.02467143777015551
ON,0.009996743697276718
ORCL,0.006678130000017609
AVGO,0.005089440146816819
LII,0.001997084042732588
NFLX,0.0
ADBE,0.0
AMD,0.0
AAPL,0.0
DHI,0.0
SNPS,0.0
BLDR,0.0
FICO,0.0
VRSK,0.0
TDG,0.0
AMAT,0.0
F,0.0
KLAC,0.0
NTAP,0.0
COF,0.0
VMC,0.0
WELL,0.0
LEN,0.0
PWR,0.0
SWK,0.0
LW,0.0
LULU,0.0
TYL,0.0
WDAY,0.0
MKC,0.0
PH,0.0
EQT,0.0
MPWR,0.0
AVB,0.0
ETN,0.0
BRO,0.0
GOOG,0.0
MLM,0.0
PANW,0.0
TAP,0.0
JBL,0.0
NOW,0.0
KMX,0.0
LYV,0.0
AMZN,0.0
UAL,0.0
DAL,0.0
CRM,0.0
HUBB,0.0
CPRT,0.0
DVA,0.0
CMG,0.0
DELL,0.0
APO,0.0
GOOGL,0.0
LLY,0.0
MSFT,0.0
WST,0.0
LRCX,0.0
INTC,0.0
TKO,0.0
CDNS,0.0
PHM,0.0
ISRG,0.0
CPAY,0.0
PNR,0.0
TTWO,0.0
FTNT,0.0
WDC,0.0
