,RBF-DivMom (excess),RBF-Graph (excess),S&P 500 (excess)
CAGR,1.7673,5.6775,0.3982
Vol,0.1666,0.4651,0.0967
Sharpe,6.2417,4.3599,3.5199
MaxDD,-0.0073,-0.0426,-0.0147
