,weight
WSM,0.08606223673830121
FICO,0.07875398497424438
DECK,0.07794586332067965
GDDY,0.0769555579798957
AIZ,0.06928030519351397
NRG,0.06806838265096651
ALL,0.06715013294205362
EXPE,0.05918125588830266
ADBE,0.054449379415705525
TT,0.053849655309094045
LULU,0.05380393681703399
INTC,0.053779186843128844
NKE,0.0470053678695281
KEY,0.0455177763822196
POOL,0.03504714587035464
CCL,0.03297595010976486
AES,0.02118670700178964
NCLH,0.018564873767953582
WBA,0.008168775981736699
FSLR,-0.007746475056267212
