,weight
PHM,0.31390592889802854
ADBE,0.26681706839430697
WSM,0.22866351239417756
WDAY,0.19061349031348687
PH,0.0
SPG,0.0
AFL,0.0
INTU,0.0
RL,0.0
JBL,0.0
AKAM,0.0
PNC,0.0
WTW,0.0
APO,0.0
GD,0.0
FITB,0.0
DLR,0.0
WAB,0.0
GEN,0.0
COR,0.0
TDG,0.0
PSX,0.0
L,0.0
MCK,0.0
T,0.0
DPZ,0.0
HII,0.0
CTAS,0.0
MPC,0.0
KLAC,0.0
AIG,0.0
HLT,0.0
XYZ,0.0
CB,0.0
MAS,0.0
WDC,0.0
USB,0.0
MSI,0.0
CDNS,0.0
WMB,0.0
PCAR,0.0
GWW,0.0
GDDY,0.0
IT,0.0
DELL,0.0
PKG,0.0
VST,0.0
CAH,0.0
STX,0.0
CBOE,0.0
INTC,0.0
PANW,0.0
ROST,0.0
KKR,0.0
AIZ,0.0
ALL,0.0
EXPE,0.0
NRG,0.0
FICO,0.0
DECK,0.0
PGR,0.0
KEY,0.0
WRB,0.0
LULU,0.0
QCOM,0.0
CRM,0.0
MOH,0.0
GRMN,0.0
STLD,0.0
TT,0.0
NOW,0.0
ANET,0.0
RCL,0.0
ERIE,0.0
SNPS,0.0
URI,0.0
NTAP,0.0
LII,0.0
LDOS,0.0
GL,0.0
