,weight
EQT,0.3677565125327263
SMCI,0.27827726680406556
ON,0.1961341908504289
MPC,0.15783202981277922
FSLR,0.0
PGR,0.0
MSCI,0.0
SO,0.0
RJF,0.0
IBKR,0.0
ADSK,0.0
WM,0.0
SRE,0.0
DXCM,0.0
REGN,0.0
ROK,0.0
RSG,0.0
STLD,0.0
ADP,0.0
F,0.0
FTV,0.0
MSI,0.0
WSM,0.0
PYPL,0.0
CTAS,0.0
NRG,0.0
FI,0.0
SBUX,0.0
EXR,0.0
IEX,0.0
COP,0.0
DHR,0.0
LKQ,0.0
GM,0.0
GIS,0.0
DVN,0.0
ROST,0.0
CLX,0.0
NUE,0.0
CNP,0.0
AVY,0.0
NEE,0.0
CDNS,0.0
PAYC,0.0
TSLA,0.0
PODD,0.0
HUBB,0.0
ERIE,0.0
CMG,0.0
GPC,0.0
TPL,0.0
TTD,0.0
EPAM,0.0
AES,0.0
CAH,0.0
LW,0.0
DECK,0.0
CSGP,0.0
ALB,0.0
ENPH,0.0
MOH,0.0
PCG,0.0
GWW,0.0
XYL,0.0
PFG,0.0
FDS,0.0
NDAQ,0.0
LULU,0.0
LII,0.0
CI,0.0
IT,0.0
ANET,0.0
KEYS,0.0
AJG,0.0
AXON,0.0
PWR,0.0
MCK,0.0
BR,0.0
TT,0.0
ORLY,0.0
