,RBF-DivMom (excess),RBF-Graph (excess),S&P 500 (excess)
CAGR,-0.1927,-0.1462,-0.3162
Vol,0.2613,0.3843,0.2563
Sharpe,-0.6985,-0.2321,-1.3608
MaxDD,-0.1029,-0.1726,-0.1656
