,weight
ERIE,0.4386759311538697
TRGP,0.36326881706192937
TPL,0.19805525178420097
K,0.0
SPGI,0.0
IFF,0.0
PNW,0.0
BBY,0.0
LNT,0.0
BRO,0.0
ALL,0.0
AXON,0.0
AEP,0.0
REG,0.0
GDDY,0.0
CINF,0.0
GRMN,0.0
ACGL,0.0
SO,0.0
NVR,0.0
MCO,0.0
NOC,0.0
DUK,0.0
AMT,0.0
TSLA,0.0
RF,0.0
STT,0.0
BK,0.0
HCA,0.0
AEE,0.0
DOC,0.0
MTB,0.0
WEC,0.0
OKE,0.0
PNC,0.0
CHTR,0.0
ICE,0.0
O,0.0
CL,0.0
CTAS,0.0
CFG,0.0
XEL,0.0
BXP,0.0
MHK,0.0
MO,0.0
MKTX,0.0
UHS,0.0
WELL,0.0
CBRE,0.0
LMT,0.0
DHI,0.0
CHRW,0.0
MMM,0.0
AFL,0.0
FICO,0.0
PM,0.0
IRM,0.0
TYL,0.0
VTR,0.0
NEM,0.0
HWM,0.0
PGR,0.0
TKO,0.0
UNH,0.0
WMT,0.0
NI,0.0
CPB,0.0
T,0.0
RTX,0.0
PSA,0.0
MSI,0.0
KIM,0.0
CBOE,0.0
NEE,0.0
EIX,0.0
RMD,0.0
NDAQ,0.0
MKC,0.0
TSN,0.0
HIG,0.0
