,RBF-DivMom (excess),RBF-Graph (excess),S&P 500 (excess)
CAGR,-0.5225,-0.7017,0.0548
Vol,0.2693,0.4747,0.1799
Sharpe,-2.5994,-2.2977,0.3784
MaxDD,-0.0995,-0.1578,-0.0433
