,f1,f2
A,0.05034157633781433,0.03051155060529709
AAPL,0.049927711486816406,0.02938760817050934
ABBV,0.05038325488567352,0.030492432415485382
ABT,0.050550684332847595,0.031189166009426117
ACGL,0.05052204430103302,0.030971862375736237
ACN,0.050110697746276855,0.030134238302707672
ADBE,0.05036211013793945,0.030524790287017822
ADI,0.050305962562561035,0.030392512679100037
ADM,0.050316259264945984,0.030295848846435547
ADP,0.05003206431865692,0.029680445790290833
ADSK,0.050105273723602295,0.029853664338588715
AEE,0.050427332520484924,0.030628569424152374
AEP,0.05036801099777222,0.03045801818370819
AES,0.05046619474887848,0.03080453723669052
AFL,0.05049528181552887,0.03100881725549698
AIG,0.05047829449176788,0.030816204845905304
AIZ,0.05030667781829834,0.030439205467700958
AJG,0.05031919479370117,0.030447758734226227
AKAM,0.05016891658306122,0.030298732221126556
ALB,0.049141302704811096,0.027868591248989105
ALGN,0.050684526562690735,0.03223680704832077
ALL,0.050506964325904846,0.030957885086536407
ALLE,0.050249338150024414,0.030345633625984192
AMAT,0.04988190531730652,0.029681891202926636
AMCR,0.05024120211601257,0.030089281499385834
AMD,0.050068631768226624,0.029994122684001923
AME,0.05042019486427307,0.030720964074134827
AMGN,0.05014370381832123,0.029933102428913116
AMP,0.050290271639823914,0.030462302267551422
AMT,0.05031709372997284,0.0303502157330513
AMZN,0.049960240721702576,0.029447920620441437
ANET,0.050136908888816833,0.03021150827407837
AON,0.05036310851573944,0.030483469367027283
AOS,0.05033749341964722,0.030576929450035095
APA,0.050377681851387024,0.03121434897184372
APD,0.050270065665245056,0.030181273818016052
APH,0.050248757004737854,0.030273161828517914
APO,0.050327450037002563,0.030542343854904175
APTV,0.050191730260849,0.030549734830856323
ARE,0.05026775598526001,0.030197560787200928
ATO,0.05012139678001404,0.029728449881076813
AVB,0.05017350614070892,0.029928117990493774
AVGO,0.0505346804857254,0.03113354742527008
AVY,0.05034095048904419,0.03052658587694168
AWK,0.05036093294620514,0.030473321676254272
AXON,0.05004169046878815,0.029783383011817932
AXP,0.05029474198818207,0.0304480642080307
AZO,0.05044275522232056,0.030986115336418152
BA,0.05061395466327667,0.03136231005191803
BAC,0.05033804476261139,0.030939482152462006
BALL,0.05016157031059265,0.029971718788146973
BAX,0.05032925307750702,0.030717916786670685
BBY,0.050254106521606445,0.030349060893058777
BDX,0.0505131334066391,0.03096391260623932
BEN,0.05029207468032837,0.03039812296628952
BF-B,0.05012848973274231,0.029954686760902405
BG,0.05054517090320587,0.031168654561042786
BIIB,0.050148338079452515,0.02990710735321045
BK,0.05053520202636719,0.031227082014083862
BKNG,0.05047564208507538,0.03122587502002716
BKR,0.05054667592048645,0.03144565224647522
BLDR,0.05026319622993469,0.03037101775407791
BLK,0.050402626395225525,0.030731521546840668
BMY,0.050004422664642334,0.02961672842502594
BR,0.05015471577644348,0.030083946883678436
BRK-B,0.05045153200626373,0.03087729960680008
BRO,0.050369709730148315,0.03061242401599884
BSX,0.050465092062950134,0.03083883970975876
BX,0.049919649958610535,0.029518134891986847
BXP,0.05028095841407776,0.030244998633861542
C,0.050395667552948,0.030930854380130768
CAG,0.05048877000808716,0.030829928815364838
CAH,0.05006133019924164,0.029609188437461853
CAT,0.05051547288894653,0.031003929674625397
CB,0.05050942301750183,0.031055577099323273
CBOE,0.05039599537849426,0.03057485818862915
CBRE,0.05042922496795654,0.03076208382844925
CCI,0.050285324454307556,0.03026627004146576
CCL,0.04971775412559509,0.030036084353923798
CDNS,0.05023396015167236,0.03018771857023239
CDW,0.05024921894073486,0.030253738164901733
CF,0.04921598732471466,0.027808845043182373
CFG,0.050370559096336365,0.030751124024391174
CHD,0.05033804476261139,0.03038860857486725
CHRW,0.05013999342918396,0.029794007539749146
CHTR,0.049731627106666565,0.03106898069381714
CI,0.05041247606277466,0.030586443841457367
CINF,0.0501633882522583,0.02993614971637726
CL,0.05043739080429077,0.03063790500164032
CLX,0.050062716007232666,0.02957247942686081
CMCSA,0.05037777125835419,0.030537687242031097
CME,0.05007496476173401,0.029640577733516693
CMG,0.049876704812049866,0.029303021728992462
CMI,0.05043156445026398,0.03078678995370865
CMS,0.050500646233558655,0.0308794304728508
CNC,0.05028983950614929,0.03045383095741272
CNP,0.0502551794052124,0.030103780329227448
COF,0.05032467842102051,0.030915021896362305
COO,0.05052199959754944,0.031144820153713226
COP,0.05042502284049988,0.031193718314170837
COR,0.05023166537284851,0.030086316168308258
COST,0.05007195472717285,0.02973075956106186
CPAY,0.05037388205528259,0.03075624257326126
CPB,0.05045618116855621,0.030704200267791748
CPRT,0.050238415598869324,0.030381880700588226
CPT,0.05027306079864502,0.030351802706718445
CRL,0.05032774806022644,0.030521109700202942
CRM,0.0502934604883194,0.030879221856594086
CSCO,0.05034962296485901,0.0305141881108284
CSGP,0.050232499837875366,0.030281558632850647
CSX,0.05026787519454956,0.03018125146627426
CTAS,0.05035136640071869,0.0304291769862175
CTRA,0.05006423592567444,0.029749363660812378
CTSH,0.05032733082771301,0.03086196631193161
CVS,0.05007271468639374,0.029839687049388885
CVX,0.05052918195724487,0.03136264532804489
CZR,0.04925526678562164,0.02819797396659851
D,0.05053777992725372,0.031184621155261993
DAL,0.050203338265419006,0.030051112174987793
DD,0.05036233365535736,0.030539296567440033
DE,0.050271034240722656,0.030152685940265656
DECK,0.05065107345581055,0.03188024461269379
DELL,0.05026453733444214,0.0308680459856987
DG,0.05034801363945007,0.03042074292898178
DGX,0.05057494342327118,0.031237497925758362
DHI,0.0504816472530365,0.030923545360565186
DHR,0.05041252076625824,0.030960097908973694
DIS,0.049965158104896545,0.029501445591449738
DLR,0.05010540783405304,0.02988569438457489
DLTR,0.05022171139717102,0.0301496759057045
DOC,0.050331324338912964,0.030388399958610535
DOV,0.05034647881984711,0.03055758774280548
DPZ,0.050058066844940186,0.02962806075811386
DRI,0.05024975538253784,0.030164293944835663
DTE,0.050426214933395386,0.03061724454164505
DUK,0.050532177090644836,0.030986778438091278
DVA,0.050495922565460205,0.031047523021697998
DVN,0.050147444009780884,0.030185602605342865
DXCM,0.05030772089958191,0.03065827488899231
EA,0.0502813458442688,0.030390828847885132
EBAY,0.050227090716362,0.03083520382642746
ECL,0.050324901938438416,0.03056347370147705
ED,0.05035938322544098,0.030438199639320374
EFX,0.05032782256603241,0.030442014336586
EG,0.0503750741481781,0.03057098388671875
EIX,0.050202831625938416,0.02992650866508484
EL,0.05060252547264099,0.03167795389890671
ELV,0.050368741154670715,0.030589371919631958
EMN,0.050188422203063965,0.03001657873392105
EMR,0.05046388506889343,0.03083372861146927
ENPH,0.04871678352355957,0.027115516364574432
EOG,0.05026933550834656,0.030581556260585785
EPAM,0.05013632774353027,0.030281826853752136
EQIX,0.05025827884674072,0.030219919979572296
EQR,0.05010917782783508,0.029809720814228058
EQT,0.049315035343170166,0.02818399667739868
ERIE,0.04917830228805542,0.028124898672103882
ES,0.05043111741542816,0.030652470886707306
ESS,0.0503590852022171,0.030479617416858673
ETN,0.05035804212093353,0.03052758425474167
ETR,0.05026598274707794,0.03016997128725052
EVRG,0.05047319829463959,0.03083851933479309
EW,0.05042943358421326,0.030769988894462585
EXC,0.050598353147506714,0.03124118596315384
EXPD,0.04996208846569061,0.029407821595668793
EXPE,0.05002066493034363,0.03007836639881134
EXR,0.05016550421714783,0.03007546067237854
F,0.049779728055000305,0.029830969870090485
FANG,0.05028323829174042,0.03053881973028183
FAST,0.050099387764930725,0.029833197593688965
FCX,0.05030684173107147,0.030428722500801086
FDS,0.049812719225883484,0.02961493283510208
FDX,0.05030350387096405,0.03031456470489502
FE,0.05049711465835571,0.030901089310646057
FFIV,0.05025927722454071,0.030538201332092285
FI,0.05042022466659546,0.0307910293340683
FICO,0.050128862261772156,0.03019431233406067
FIS,0.05019433796405792,0.0305694118142128
FITB,0.05033285915851593,0.030739836394786835
FRT,0.05012120306491852,0.029823854565620422
FSLR,0.04986143112182617,0.02931608259677887
FTNT,0.04996909201145172,0.029827281832695007
FTV,0.0503043532371521,0.030391588807106018
GD,0.0503932386636734,0.03058736026287079
GDDY,0.050359904766082764,0.03056637942790985
GE,0.050481900572776794,0.03153630346059799
GEN,0.05017465353012085,0.030181966722011566
GILD,0.05034969747066498,0.030674979090690613
GIS,0.05020734667778015,0.029990024864673615
GL,0.050519853830337524,0.03104984015226364
GLW,0.05025362968444824,0.030297905206680298
GM,0.0496927946805954,0.02911251038312912
GNRC,0.05028131604194641,0.03299599885940552
GOOG,0.050051555037498474,0.029715657234191895
GOOGL,0.050049588084220886,0.02971714735031128
GPC,0.050136104226112366,0.029800906777381897
GPN,0.050462931394577026,0.03129902482032776
GRMN,0.05039070546627045,0.0307655930519104
GS,0.05013550817966461,0.029932811856269836
GWW,0.05013415217399597,0.02986244112253189
HAL,0.050451382994651794,0.032208651304244995
HAS,0.05048266053199768,0.03180877864360809
HBAN,0.05025775730609894,0.030493080615997314
HCA,0.05043227970600128,0.030656002461910248
HD,0.050260692834854126,0.030178062617778778
HIG,0.05045005679130554,0.03072822093963623
HII,0.05034421384334564,0.030491113662719727
HLT,0.05002427101135254,0.02976430207490921
HOLX,0.05038350820541382,0.03052983433008194
HON,0.0504351407289505,0.03074728697538376
HPE,0.05042305588722229,0.03090149164199829
HPQ,0.050185129046440125,0.030196987092494965
HRL,0.05026562511920929,0.030237533152103424
HSIC,0.05029948055744171,0.03025631606578827
HST,0.049829885363578796,0.0291636660695076
HSY,0.05026520788669586,0.03009788691997528
HUBB,0.050176799297332764,0.03013686090707779
HUM,0.05025684833526611,0.030312389135360718
