,f1,f2
A,0.03621385991573334,0.004663534462451935
AAPL,0.036064304411411285,0.004663720726966858
ABBV,0.0366998091340065,0.004701137542724609
ABT,0.0362071692943573,0.0047183409333229065
ACGL,0.03678303211927414,0.0047070905566215515
ACN,0.035656675696372986,0.004737302660942078
ADBE,0.035905808210372925,0.0046958401799201965
ADI,0.036632709205150604,0.004702530801296234
ADM,0.03730542212724686,0.004726283252239227
ADP,0.03656566143035889,0.004686102271080017
ADSK,0.03635843098163605,0.0046708062291145325
AEE,0.036857277154922485,0.004723601043224335
AEP,0.03699054569005966,0.004738859832286835
AES,0.03814440965652466,0.0050217583775520325
AFL,0.03683163970708847,0.004703916609287262
AIG,0.036953069269657135,0.004711940884590149
AIZ,0.03712944686412811,0.0047613754868507385
AJG,0.03642194718122482,0.004691995680332184
AKAM,0.03620520234107971,0.0046682208776474
ALB,0.03738453984260559,0.004926241934299469
ALGN,0.037028566002845764,0.004720613360404968
ALL,0.03743452578783035,0.004769474267959595
ALLE,0.036664366722106934,0.004684634506702423
AMAT,0.03628827631473541,0.004680201411247253
AMCR,0.036696307361125946,0.004720725119113922
AMD,0.03553491830825806,0.004702635109424591
AME,0.03641197085380554,0.004671111702919006
AMGN,0.0368686318397522,0.004722259938716888
AMP,0.0370095819234848,0.004708684980869293
AMT,0.0364009365439415,0.004711613059043884
AMZN,0.03666357696056366,0.004688233137130737
ANET,0.03597962111234665,0.004715077579021454
AON,0.036974258720874786,0.004709839820861816
AOS,0.0367361456155777,0.004682943224906921
APA,0.03739307075738907,0.004739128053188324
APD,0.03652913123369217,0.004706487059593201
APH,0.03685847669839859,0.004699766635894775
APO,0.0364813357591629,0.004674412310123444
APTV,0.03659900277853012,0.004688568413257599
ARE,0.03687618672847748,0.004717081785202026
ATO,0.03682783991098404,0.004703924059867859
AVB,0.03655076026916504,0.004690669476985931
AVGO,0.03627108782529831,0.004718445241451263
AVY,0.036958254873752594,0.004731729626655579
AWK,0.03692103177309036,0.004734888672828674
AXON,0.03640265017747879,0.004679776728153229
AXP,0.03672531247138977,0.004692330956459045
AZO,0.036292657256126404,0.004665829241275787
BA,0.03651514649391174,0.004717022180557251
BAC,0.037213556468486786,0.004727698862552643
BALL,0.03691747784614563,0.0047073885798454285
BAX,0.03660093992948532,0.004707060754299164
BBY,0.03681659698486328,0.004694253206253052
BDX,0.036677807569503784,0.0046896860003471375
BEN,0.03680369257926941,0.004718028008937836
BF-B,0.03572490066289902,0.004697911441326141
BG,0.0373879075050354,0.004745997488498688
BIIB,0.0359058678150177,0.004655271768569946
BK,0.03691285848617554,0.004712432622909546
BKNG,0.036681242287158966,0.004697367548942566
BKR,0.036952950060367584,0.004695400595664978
BLDR,0.036726050078868866,0.004704318940639496
BLK,0.03662056475877762,0.0046939849853515625
BMY,0.03699672967195511,0.004755109548568726
BR,0.036506906151771545,0.0046812668442726135
BRK-B,0.036808110773563385,0.004705578088760376
BRO,0.036794811487197876,0.004700228571891785
BSX,0.036666519939899445,0.004693254828453064
BX,0.03694506734609604,0.0047193244099617004
BXP,0.03678285330533981,0.004723474383354187
C,0.03757840394973755,0.0047708675265312195
CAG,0.03700724244117737,0.004714399576187134
CAH,0.03639305382966995,0.0046842023730278015
CAT,0.03720279783010483,0.0047219619154930115
CB,0.03664668649435043,0.0046930983662605286
CBOE,0.03632326424121857,0.004690289497375488
CBRE,0.036762818694114685,0.0046919360756874084
CCI,0.036278508603572845,0.004720315337181091
CCL,0.03589605540037155,0.00466117262840271
CDNS,0.036060579121112823,0.004688724875450134
CDW,0.03664805740118027,0.004684880375862122
CF,0.03627030551433563,0.004665985703468323
CFG,0.03737542778253555,0.004755124449729919
CHD,0.03637608885765076,0.0046697258949279785
CHRW,0.0368117019534111,0.004704959690570831
CHTR,0.03627058118581772,0.004668593406677246
CI,0.03705674409866333,0.0047301799058914185
CINF,0.03727664798498154,0.004791878163814545
CL,0.03664585202932358,0.0046860575675964355
CLX,0.036497846245765686,0.0046935901045799255
CMCSA,0.03658019006252289,0.00468936562538147
CME,0.03629027307033539,0.004675835371017456
CMG,0.03702087700366974,0.004703693091869354
CMI,0.03720024973154068,0.004721097648143768
CMS,0.03679845482110977,0.0047130584716796875
CNC,0.03665953129529953,0.004704080522060394
CNP,0.03669241815805435,0.004706747829914093
COF,0.0375547930598259,0.0047961995005607605
COO,0.036493539810180664,0.004685439169406891
COP,0.03741984814405441,0.004750944674015045
COR,0.03653743118047714,0.004676990211009979
COST,0.03630799800157547,0.004669070243835449
CPAY,0.037006817758083344,0.004708550870418549
CPB,0.03688524663448334,0.004705987870693207
CPRT,0.036909669637680054,0.004694528877735138
CPT,0.03630047291517258,0.00467555969953537
CRL,0.036622099578380585,0.0046892911195755005
CRM,0.03608211129903793,0.00467006117105484
CSCO,0.03647875040769577,0.004676416516304016
CSGP,0.03694505989551544,0.004718616604804993
CSX,0.03610123693943024,0.004663936793804169
CTAS,0.037703633308410645,0.004849284887313843
CTRA,0.037071190774440765,0.004715375602245331
CTSH,0.03603089600801468,0.004699908196926117
CVS,0.036862291395664215,0.004700690507888794
CVX,0.03672586381435394,0.004703588783740997
CZR,0.037339791655540466,0.00481831282377243
D,0.036805056035518646,0.004704996943473816
DAL,0.037793055176734924,0.004800200462341309
DD,0.03701712191104889,0.004701942205429077
DE,0.03734184056520462,0.004737541079521179
DECK,0.03687278926372528,0.004705607891082764
DELL,0.036584317684173584,0.004812151193618774
DG,0.03688696771860123,0.004737578332424164
DGX,0.036973051726818085,0.004720412194728851
DHI,0.037184424698352814,0.004729792475700378
DHR,0.03601531684398651,0.004655845463275909
DIS,0.03765206038951874,0.004800945520401001
DLR,0.036601826548576355,0.004744663834571838
DLTR,0.03639131039381027,0.0048075392842292786
DOC,0.03753454238176346,0.004829436540603638
DOV,0.03664884716272354,0.004682064056396484
DPZ,0.037979334592819214,0.004895240068435669
DRI,0.03617100417613983,0.0046890974044799805
DTE,0.03678486496210098,0.004722408950328827
DUK,0.036756858229637146,0.004705540835857391
DVA,0.036913760006427765,0.0047269538044929504
DVN,0.03738280385732651,0.004748716950416565
DXCM,0.03730101138353348,0.004768550395965576
EA,0.03609525412321091,0.004677504301071167
EBAY,0.0370321124792099,0.004727013409137726
