,f1,f2
A,0.07479991018772125,0.03733309358358383
AAPL,0.07468542456626892,0.03697681427001953
ABBV,0.07493583858013153,0.03729422390460968
ABT,0.07465961575508118,0.0369424968957901
ACGL,0.07522919774055481,0.03782472759485245
ACN,0.07467693090438843,0.036930158734321594
ADBE,0.07467247545719147,0.037060171365737915
ADI,0.07499384880065918,0.037489257752895355
ADM,0.07459239661693573,0.03679792582988739
ADP,0.07495766878128052,0.037495508790016174
ADSK,0.07493366301059723,0.0376083105802536
AEE,0.0739748477935791,0.035948798060417175
AEP,0.07432533800601959,0.03639835864305496
AES,0.07353447377681732,0.0354163721203804
AFL,0.07532826066017151,0.038063205778598785
AIG,0.07511650025844574,0.037607647478580475
AIZ,0.07529458403587341,0.038034580647945404
AJG,0.07498079538345337,0.03737223893404007
AKAM,0.07526248693466187,0.037911027669906616
ALB,0.07433800399303436,0.03695090115070343
ALGN,0.07418715953826904,0.03704910725355148
ALL,0.07513277232646942,0.037794411182403564
ALLE,0.07488144934177399,0.03741447627544403
AMAT,0.07494162023067474,0.03770317882299423
AMCR,0.07500030100345612,0.037684813141822815
AMD,0.0751228928565979,0.03898448497056961
AME,0.07464388012886047,0.036861129105091095
AMGN,0.0754559189081192,0.03829439729452133
AMP,0.07475815713405609,0.03709428012371063
AMT,0.0743049681186676,0.03658915311098099
AMZN,0.07430988550186157,0.03659425675868988
ANET,0.07505382597446442,0.03791080415248871
AON,0.07467491924762726,0.03686773031949997
AOS,0.0749124139547348,0.03775842487812042
APA,0.07482902705669403,0.03760509938001633
APD,0.07467678189277649,0.03701390326023102
APH,0.07501749694347382,0.037620909512043
APO,0.07518823444843292,0.03775899112224579
APTV,0.0749347060918808,0.037567950785160065
ARE,0.07382503151893616,0.03611519932746887
ATO,0.07412631809711456,0.03609585016965866
AVB,0.07443733513355255,0.03656028211116791
AVGO,0.07496185600757599,0.03747345507144928
AVY,0.07524584233760834,0.037997737526893616
AWK,0.07364770770072937,0.03549978882074356
AXON,0.07486002147197723,0.03763081878423691
AXP,0.07430864870548248,0.036514222621917725
AZO,0.07506805658340454,0.03758351504802704
BA,0.07404150068759918,0.03604830801486969
BAC,0.07468773424625397,0.03703489154577255
BALL,0.07472993433475494,0.03723125904798508
BAX,0.07475805282592773,0.0372207909822464
BBY,0.07471396028995514,0.03718307614326477
BDX,0.07468083500862122,0.03692612051963806
BEN,0.07448595762252808,0.03671775758266449
BF-B,0.07379719614982605,0.035678423941135406
