,RBF-DivMom (excess),RBF-Graph (excess),S&P 500 (excess)
CAGR,0.1219,0.1529,0.2714
Vol,0.0702,0.1474,0.1165
Sharpe,1.6692,1.0275,2.1147
MaxDD,-0.0184,-0.0287,-0.0244
