,RBF-DivMom (excess),RBF-Graph (excess),S&P 500 (excess)
CAGR,0.3743,0.1206,0.2556
Vol,0.2502,0.3854,0.1656
Sharpe,1.3912,0.4674,1.4549
MaxDD,-0.0851,-0.0978,-0.0706
