,weight
NVDA,0.08359015096900685
GE,0.06864676771300136
SMCI,0.061331572720664786
AXON,0.06119833444393263
META,0.06112925251445334
MKTX,0.06059610605923473
ANET,0.058340854457789144
WYNN,0.05513155077061642
AMD,0.05350187721756452
WST,0.053177400624342064
FDX,0.051455567169117304
FSLR,0.05129453804310155
ALGN,0.04912988680879247
ODFL,0.04614232180224958
WBD,0.04609597905719636
URI,0.03954449788769152
SW,0.033804255957794876
CZR,0.025894011999581527
CCL,0.0252655231873759
GNRC,0.014729550596493094
