,weight
SMCI,0.39724556871833344
FSLR,0.3854181098839752
DECK,0.13673096773267426
BLDR,0.08060535366501707
SYK,0.0
PNR,0.0
DHI,0.0
ADBE,0.0
OMC,0.0
APTV,0.0
TSLA,0.0
SNPS,0.0
MSCI,0.0
ORCL,0.0
ADI,0.0
MU,0.0
BA,0.0
AVGO,0.0
LEN,0.0
ODFL,0.0
TDG,0.0
NVDA,0.0
LW,0.0
MSFT,0.0
DRI,0.0
PODD,0.0
EG,0.0
AAPL,0.0
HCA,0.0
FCX,0.0
DXCM,0.0
IPG,0.0
TTD,0.0
PWR,0.0
TPR,0.0
ULTA,0.0
PH,0.0
WDAY,0.0
MPC,0.0
URI,0.0
MCHP,0.0
NVR,0.0
AOS,0.0
WST,0.0
JBL,0.0
FDX,0.0
FICO,0.0
BKNG,0.0
MPWR,0.0
WBD,0.0
CRM,0.0
ALGN,0.0
NUE,0.0
ANET,0.0
AMD,0.0
WYNN,0.0
MKTX,0.0
AXON,0.0
GE,0.0
META,0.0
PHM,0.0
AMAT,0.0
PANW,0.0
IDXX,0.0
ON,0.0
CPRT,0.0
TKO,0.0
SWKS,0.0
ACGL,0.0
LRCX,0.0
NFLX,0.0
GWW,0.0
TER,0.0
CDNS,0.0
MGM,0.0
STLD,0.0
RCL,0.0
LVS,0.0
FTNT,0.0
COO,0.0
