,VIX
2017-01-13,11.229999542236328
2017-01-20,11.539999961853027
2017-01-27,10.579999923706056
2017-02-03,10.970000267028809
2017-02-10,10.850000381469728
2017-02-17,11.489999771118164
2017-02-24,11.470000267028809
2017-03-03,10.960000038146973
2017-03-10,11.65999984741211
2017-03-17,11.279999732971191
2017-03-24,12.960000038146973
2017-03-31,12.369999885559082
2017-04-07,12.869999885559082
2017-04-14,15.960000038146973
2017-04-21,14.630000114440918
2017-04-28,10.81999969482422
2017-05-05,10.56999969482422
2017-05-12,10.399999618530272
2017-05-19,12.039999961853027
2017-05-26,9.8100004196167
2017-06-02,9.75
2017-06-09,10.699999809265137
2017-06-16,10.380000114440918
2017-06-23,10.020000457763672
2017-06-30,11.18000030517578
2017-07-07,11.1899995803833
2017-07-14,9.510000228881836
2017-07-21,9.359999656677246
2017-07-28,10.289999961853027
2017-08-04,10.029999732971191
2017-08-11,15.510000228881836
2017-08-18,14.260000228881836
2017-08-25,11.279999732971191
2017-09-01,10.130000114440918
2017-09-08,12.119999885559082
2017-09-15,10.170000076293944
2017-09-22,9.59000015258789
2017-09-29,9.510000228881836
2017-10-06,9.649999618530272
2017-10-13,9.609999656677246
2017-10-20,9.970000267028809
2017-10-27,9.800000190734863
2017-11-03,9.140000343322754
2017-11-10,11.289999961853027
2017-11-17,11.43000030517578
2017-11-24,9.670000076293944
2017-12-01,11.43000030517578
2017-12-08,9.579999923706056
2017-12-15,9.420000076293944
2017-12-22,9.899999618530272
2017-12-29,11.039999961853027
2018-01-05,9.220000267028809
2018-01-12,10.15999984741211
2018-01-19,11.270000457763672
2018-01-26,11.079999923706056
2018-02-02,17.309999465942383
2018-02-09,29.059999465942383
2018-02-16,19.459999084472656
2018-02-23,16.489999771118164
2018-03-02,19.59000015258789
2018-03-09,14.640000343322754
2018-03-16,15.800000190734863
2018-03-23,24.8700008392334
2018-03-30,19.969999313354492
2018-04-06,21.489999771118164
2018-04-13,17.40999984741211
2018-04-20,16.8799991607666
2018-04-27,15.40999984741211
2018-05-04,14.770000457763672
2018-05-11,12.649999618530272
2018-05-18,13.420000076293944
2018-05-25,13.220000267028809
2018-06-01,13.460000038146973
2018-06-08,12.18000030517578
2018-06-15,11.979999542236328
2018-06-22,13.770000457763672
2018-06-29,16.09000015258789
2018-07-06,13.369999885559082
2018-07-13,12.18000030517578
2018-07-20,12.859999656677246
2018-07-27,13.029999732971191
2018-08-03,11.640000343322754
2018-08-10,13.15999984741211
2018-08-17,12.640000343322754
2018-08-24,11.989999771118164
2018-08-31,12.859999656677246
2018-09-07,14.880000114440918
2018-09-14,12.06999969482422
2018-09-21,11.68000030517578
2018-09-28,12.119999885559082
2018-10-05,14.81999969482422
2018-10-12,21.309999465942383
2018-10-19,19.88999938964844
2018-10-26,24.15999984741211
2018-11-02,19.510000228881836
2018-11-09,17.360000610351562
2018-11-16,18.13999938964844
2018-11-23,21.520000457763672
2018-11-30,18.06999969482422
2018-12-07,23.229999542236328
2018-12-14,21.6299991607666
2018-12-21,30.11000061035156
2018-12-28,28.34000015258789
2019-01-04,21.3799991607666
2019-01-11,18.190000534057617
2019-01-18,17.799999237060547
2019-01-25,17.420000076293945
2019-02-01,16.139999389648438
2019-02-08,15.720000267028809
2019-02-15,14.90999984741211
2019-02-22,13.510000228881836
2019-03-01,13.56999969482422
2019-03-08,16.049999237060547
2019-03-15,12.880000114440918
2019-03-22,16.479999542236328
2019-03-29,13.710000038146973
2019-04-05,12.81999969482422
2019-04-12,12.010000228881836
2019-04-19,12.09000015258789
2019-04-26,12.729999542236328
2019-05-03,12.869999885559082
2019-05-10,16.040000915527344
2019-05-17,15.960000038146973
2019-05-24,15.850000381469728
2019-05-31,18.709999084472656
2019-06-07,16.299999237060547
2019-06-14,15.279999732971191
2019-06-21,15.399999618530272
2019-06-28,15.079999923706056
2019-07-05,13.279999732971191
2019-07-12,12.390000343322754
2019-07-19,14.449999809265137
2019-07-26,12.15999984741211
2019-08-02,17.610000610351562
2019-08-09,17.969999313354492
2019-08-16,18.469999313354492
2019-08-23,19.8700008392334
2019-08-30,18.979999542236328
2019-09-06,15.0
2019-09-13,13.739999771118164
2019-09-20,15.31999969482422
2019-09-27,17.219999313354492
2019-10-04,17.040000915527344
2019-10-11,15.579999923706056
2019-10-18,14.25
2019-10-25,12.649999618530272
2019-11-01,12.300000190734863
2019-11-08,12.06999969482422
2019-11-15,12.050000190734863
2019-11-22,12.34000015258789
2019-11-29,12.619999885559082
2019-12-06,13.619999885559082
2019-12-13,12.630000114440918
2019-12-20,12.510000228881836
2019-12-27,13.43000030517578
2020-01-03,14.020000457763672
2020-01-10,12.5600004196167
2020-01-17,12.100000381469728
2020-01-24,14.5600004196167
2020-01-31,18.84000015258789
2020-02-07,15.470000267028809
2020-02-14,13.68000030517578
2020-02-21,17.079999923706055
2020-02-28,40.11000061035156
2020-03-06,41.939998626708984
2020-03-13,57.83000183105469
2020-03-20,66.04000091552734
2020-03-27,65.54000091552734
2020-04-03,46.79999923706055
2020-04-10,41.66999816894531
2020-04-17,38.150001525878906
2020-04-24,35.93000030517578
2020-05-01,37.189998626708984
2020-05-08,27.979999542236328
2020-05-15,31.88999938964844
2020-05-22,28.15999984741211
2020-05-29,27.510000228881836
2020-06-05,24.520000457763672
2020-06-12,36.09000015258789
2020-06-19,35.119998931884766
2020-06-26,34.72999954223633
2020-07-03,27.68000030517578
2020-07-10,27.290000915527344
2020-07-17,25.68000030517578
2020-07-24,25.84000015258789
2020-07-31,24.459999084472656
2020-08-07,22.209999084472656
2020-08-14,22.049999237060547
2020-08-21,22.540000915527344
2020-08-28,22.959999084472656
2020-09-04,30.75
2020-09-11,26.8700008392334
2020-09-18,25.829999923706055
2020-09-25,26.3799991607666
2020-10-02,27.6299991607666
2020-10-09,25.0
2020-10-16,27.40999984741211
2020-10-23,27.549999237060547
2020-10-30,38.02000045776367
2020-11-06,24.86000061035156
2020-11-13,23.100000381469727
2020-11-20,23.700000762939453
2020-11-27,20.84000015258789
2020-12-04,20.790000915527344
2020-12-11,23.309999465942383
2020-12-18,21.56999969482422
2020-12-25,21.530000686645508
2021-01-01,22.75
2021-01-08,21.559999465942383
2021-01-15,24.34000015258789
2021-01-22,21.90999984741211
2021-01-29,33.09000015258789
2021-02-05,20.8700008392334
2021-02-12,19.969999313354492
2021-02-19,22.049999237060547
2021-02-26,27.950000762939453
2021-03-05,24.65999984741211
2021-03-12,20.690000534057617
2021-03-19,20.950000762939453
2021-03-26,18.86000061035156
2021-04-02,17.329999923706055
2021-04-09,16.690000534057617
2021-04-16,16.25
2021-04-23,17.329999923706055
2021-04-30,18.61000061035156
2021-05-07,16.690000534057617
2021-05-14,18.809999465942383
2021-05-21,20.149999618530273
2021-05-28,16.760000228881836
2021-06-04,16.420000076293945
2021-06-11,15.649999618530272
2021-06-18,20.700000762939453
2021-06-25,15.619999885559082
2021-07-02,15.06999969482422
2021-07-09,16.18000030517578
2021-07-16,18.450000762939453
2021-07-23,17.200000762939453
2021-07-30,18.239999771118164
2021-08-06,16.149999618530273
2021-08-13,15.449999809265137
2021-08-20,18.559999465942383
2021-08-27,16.389999389648438
2021-09-03,16.40999984741211
2021-09-10,20.950000762939453
2021-09-17,20.809999465942383
2021-09-24,17.75
2021-10-01,21.100000381469727
2021-10-08,18.770000457763672
2021-10-15,16.299999237060547
2021-10-22,15.43000030517578
2021-10-29,16.260000228881836
2021-11-05,16.479999542236328
2021-11-12,16.290000915527344
2021-11-19,17.90999984741211
2021-11-26,28.6200008392334
2021-12-03,30.670000076293945
2021-12-10,18.690000534057617
2021-12-17,21.56999969482422
2021-12-24,17.959999084472656
2021-12-31,17.219999313354492
2022-01-07,18.760000228881836
2022-01-14,19.190000534057617
2022-01-21,28.850000381469727
2022-01-28,27.65999984741211
2022-02-04,23.219999313354492
2022-02-11,27.36000061035156
2022-02-18,27.75
2022-02-25,27.59000015258789
2022-03-04,31.979999542236328
2022-03-11,30.75
2022-03-18,23.8700008392334
2022-03-25,20.809999465942383
2022-04-01,19.6299991607666
2022-04-08,21.15999984741211
2022-04-15,22.700000762939453
2022-04-22,28.209999084472656
2022-04-29,33.400001525878906
2022-05-06,30.190000534057617
2022-05-13,28.8700008392334
2022-05-20,29.43000030517578
2022-05-27,25.719999313354492
2022-06-03,24.790000915527344
2022-06-10,27.75
2022-06-17,31.1299991607666
2022-06-24,27.229999542236328
2022-07-01,26.700000762939453
2022-07-08,24.63999938964844
2022-07-15,24.229999542236328
2022-07-22,23.030000686645508
2022-07-29,21.329999923706055
2022-08-05,21.149999618530273
2022-08-12,19.530000686645508
2022-08-19,20.600000381469727
2022-08-26,25.559999465942383
