,GSPC
2017-01-13,-0.0010277156192402088
2017-01-20,-0.0014638950082779458
2017-01-27,0.01029356724065024
2017-02-03,0.001189694703188088
2017-02-10,0.00813093662302906
2017-02-17,0.015137434901282273
2017-02-24,0.0068817844749376215
2017-03-03,0.006665721320562567
2017-03-10,-0.00441438912599398
2017-03-17,0.002381312531062947
2017-03-24,-0.014409763284452854
2017-03-31,0.007994944662721637
2017-04-07,-0.0030388415595811445
2017-04-14,-0.011288319217536119
2017-04-21,0.008475918610634927
2017-04-28,0.015119070908254414
2017-05-05,0.006329204009591546
2017-05-12,-0.003496924749468125
2017-05-19,-0.003835343280582727
2017-05-26,0.014313162352650784
2017-06-02,0.009624061122974889
2017-06-09,-0.002992963967220233
2017-06-16,0.0005674396844344629
2017-06-23,0.0021166581144113164
2017-06-30,-0.0061067696430168105
2017-07-07,0.0007303838786849504
2017-07-14,0.014056725212781711
2017-07-21,0.005395918067500101
2017-07-28,-0.00017793095331099685
2017-08-04,0.0019133450434448032
2017-08-11,-0.014336877640191871
2017-08-18,-0.006459628024869278
2017-08-25,0.00721485834046381
2017-09-01,0.01371236746298717
2017-09-08,-0.006105314606767049
2017-09-15,0.015763214840839885
2017-09-22,0.0007959228750636416
2017-09-29,0.006849971992643642
2017-10-06,0.011895866182383126
2017-10-13,0.0015062167833614377
2017-10-20,0.008632421553170346
2017-10-27,0.0022755843254588996
2017-11-03,0.0026229506956210913
2017-11-10,-0.0021407965231019133
2017-11-17,-0.0013359993442437583
2017-11-24,0.00913966431789544
2017-12-01,0.015293476849596867
2017-12-08,0.0035122092027809015
2017-12-15,0.009168417346313407
2017-12-22,0.002814112037844848
2017-12-29,-0.0036260705501548044
2018-01-05,0.026009699293413898
2018-01-12,0.015708251252987956
2018-01-19,0.008635314502009606
2018-01-26,0.022264550856577137
2018-02-02,-0.03854689904443475
2018-02-09,-0.05161952552325131
2018-02-16,0.04301117358891605
2018-02-23,0.005519349937669626
2018-03-02,-0.020401866498722422
2018-03-09,0.0354185112343242
2018-03-16,-0.01240236482339654
2018-03-23,-0.05950196380788084
2018-03-30,0.02032643831121086
2018-04-06,-0.013783391408563776
2018-04-13,0.0199004322215347
2018-04-20,0.005210195947594737
2018-04-27,-8.613049428205981e-05
2018-05-04,-0.0024307899697063383
2018-05-11,0.024141911795440396
2018-05-18,-0.005407446570183628
2018-05-25,0.0030815333424823337
2018-06-01,0.004883655668722426
2018-06-08,0.016239883496158024
2018-06-15,0.00022665563374979695
2018-06-22,-0.008914770180669478
2018-06-29,-0.013252761346431776
2018-07-06,0.015248089621717977
2018-07-13,0.015033585236243128
2018-07-20,0.00018563440689284085
2018-07-27,0.006063890300494167
2018-08-03,0.007637958001840829
2018-08-10,-0.0024891538424115234
2018-08-17,0.005947119007437668
2018-08-24,0.008617171709211443
2018-08-31,0.00933320764042997
2018-09-07,-0.010284295021147489
2018-09-14,0.011596016833637961
2018-09-21,0.008499177816112181
2018-09-28,-0.005355532133192799
2018-10-05,-0.0097495220625383
2018-10-12,-0.04104567996652931
2018-10-19,0.0002349533675355324
2018-10-26,-0.03941429114160426
2018-11-02,0.024211216277988768
2018-11-09,0.021281187313144195
2018-11-16,-0.016087676807084037
2018-11-23,-0.03790194688288349
2018-11-30,0.048473675981172526
2018-12-07,-0.04604421008387306
2018-12-14,-0.01258227094130641
2018-12-21,-0.0705128319496084
2018-12-28,0.028601877703193907
2019-01-04,0.01858599505715757
2019-01-11,0.0254034731659754
2019-01-18,0.028675845597835904
2019-01-25,-0.0022278537388561604
2019-02-01,0.015674964866695
2019-02-08,0.0004987395303260966
2019-02-15,0.025008574151898267
2019-02-22,0.006149958069667155
2019-03-01,0.003946051570552654
2019-03-08,-0.02162146111508672
2019-03-15,0.028949283150054538
2019-03-22,-0.0077130819994813546
2019-03-29,0.01202907186968148
2019-04-05,0.02058287111934484
2019-04-12,0.005071289477977389
2019-04-19,-0.0008185577144068257
2019-04-26,0.011996383226393001
2019-05-03,0.0019592670432897284
2019-05-10,-0.02180850089525029
2019-05-17,-0.007590016585023793
2019-05-24,-0.011704710340585189
2019-05-31,-0.02618486460504398
2019-06-07,0.04406881634656141
2019-06-14,0.0047470512229334854
2019-06-21,0.0219883687792123
2019-06-28,-0.0029486762359285214
2019-07-05,0.016537685665128754
2019-07-12,0.007811674020769029
2019-07-19,-0.012330042394925246
2019-07-26,0.016545667125566807
2019-08-02,-0.031002774504892437
2019-08-09,-0.004570231156091875
2019-08-16,-0.010268436333887923
2019-08-23,-0.014390595428528639
2019-08-30,0.027870314291243956
2019-09-06,0.017854336193706733
2019-09-13,0.009628306218709009
2019-09-20,-0.005094059887797547
2019-09-27,-0.010120093649236724
2019-10-04,-0.003302067049955603
2019-10-11,0.006185619190049682
2019-10-18,0.005363125754856107
2019-10-25,0.012172693808391874
2019-11-01,0.014676303970036424
2019-11-08,0.008533072951473018
2019-11-15,0.008851979942626466
2019-11-22,-0.003259109875566096
2019-11-29,0.009867228142974256
2019-12-06,0.0015695520733275327
2019-12-13,0.007276157728051995
2019-12-20,0.016542514853338807
2019-12-27,0.00583631325991728
2020-01-03,-0.0015956450404118053
2020-01-10,0.009428566727743646
2020-01-17,0.019682428410166704
2020-01-24,-0.01025646929152426
2020-01-31,-0.021226092725387634
2020-02-07,0.03168169497862884
2020-02-14,0.01576157531382288
2020-02-21,-0.01254671767375327
2020-02-28,-0.11490675733559284
2020-03-06,0.0061438033268914425
2020-03-13,-0.08792649883842302
2020-03-20,-0.14979605267779134
2020-03-27,0.10262831544954365
2020-04-03,-0.02078327462777841
2020-04-10,0.12101749054054982
2020-04-17,0.03037471527122841
2020-04-24,-0.013156819683175024
2020-05-01,-0.002125689812120141
2020-05-08,0.035005383546185515
2020-05-15,-0.02256129993672743
2020-05-22,0.03203897110884621
2020-05-29,0.03006652418073965
2020-06-05,0.04914738320576601
2020-06-12,-0.04778435229118467
2020-06-19,0.018554481638980682
2020-06-26,-0.02863053118913951
2020-07-03,0.040198720185663867
2020-07-10,0.017581422783052265
2020-07-17,0.012461363411284627
2020-07-24,-0.0028219719825742437
2020-07-31,0.01725641208635191
2020-08-07,0.024505340445368992
