,^IRX,^FVX,^TNX,^TYX
2017-01-13,9.904295241414118e-05,0.0003691535431151749,0.0004654807457107335,0.000580178814800103
2017-01-20,7.960467265566429e-05,0.0002989565197661914,0.0003781493472980735,0.00046891034796514575
2017-01-27,9.63970318239582e-05,0.000381071994161708,0.0004856350791218045,0.0005984088241863805
2017-02-03,9.781881173376306e-05,0.0003783472630538576,0.0004849779083526684,0.0006023008050477507
2017-02-10,0.00010307041396462324,0.00036459352984108406,0.000469009069312909,0.0005886213768739879
2017-02-17,0.00010267558190579784,0.0003822017300441072,0.0004815676691054538,0.0005970228645801878
2017-02-24,7.960480311108853e-05,0.00029533377630674984,0.0003745837858650791,0.00047130075771883995
2017-03-03,0.00011695779271359008,0.00038476822068833627,0.00047730219523112183,0.0005940153978798435
2017-03-10,0.00014180365183991128,0.0004074190505636288,0.0004992291180347941,0.0006138527422259177
2017-03-17,0.00014282801068588036,0.00040547345893093834,0.0004991125286832876,0.0006143146669541633
2017-03-24,0.00014657104238735563,0.0003835262020994712,0.00047544423540357705,0.0005935544062145581
2017-03-31,0.00014952566764137032,0.0003810342815184775,0.0004699010640538681,0.0005876967232152364
2017-04-07,0.00015362160482146336,0.00036958192926728195,0.00046187376364525967,0.0005854610624298484
2017-04-14,0.00012534502091376964,0.0002881238685639165,0.00036050335325055194,0.0004590403111270902
2017-04-21,0.0001546850758753493,0.0003441995911090956,0.0004361794882061787,0.0005635899532123734
2017-04-28,0.0001559846052556768,0.0003587858175666536,0.0004508548468984408,0.0005787131528360856
2017-05-05,0.00016594417585968912,0.0003645934189193678,0.00045663635029091765,0.0005841885512676281
2017-05-12,0.00017188710730509094,0.0003756198485034279,0.00046803938297612646,0.0005914739677583825
2017-05-19,0.0001742084711837677,0.0003546903934115164,0.00044588461938643853,0.0005752788175559242
2017-05-26,0.00017833898275831928,0.00035457498054758396,0.00044390711165664953,0.0005725034960075703
2017-06-02,0.000148559551438332,0.0002751007967460861,0.0003450524789947451,0.0004471569584483248
2017-06-09,0.00019084351762010954,0.0003428734418016166,0.00042798365791529847,0.0005556771402903671
2017-06-16,0.00019418470042342761,0.00034595536776360625,0.00042708953040015984,0.0005511968044982218
