,^IRX,^FVX,^TNX,^TYX
2017-01-03,0.4749999940395355,1.944000005722046,2.450000047683716,3.046999931335449
2017-01-04,0.5180000066757202,1.9470000267028809,2.4519999027252197,3.0450000762939453
2017-01-05,0.5080000162124634,1.8630000352859497,2.368000030517578,2.9619998931884766
2017-01-06,0.503000020980835,1.9220000505447388,2.4179999828338623,3.003999948501587
2017-01-09,0.48500001430511475,1.88100004196167,2.375999927520752,2.9679999351501465
2017-01-10,0.503000020980835,1.878999948501587,2.378999948501587,2.9700000286102295
2017-01-11,0.49799999594688416,1.8760000467300415,2.369999885559082,2.9570000171661377
2017-01-12,0.503000020980835,1.8680000305175781,2.3610000610351562,2.9600000381469727
2017-01-13,0.5130000114440918,1.8839999437332153,2.380000114440918,2.9769999980926514
2017-01-17,0.5130000114440918,1.8259999752044678,2.3269999027252197,2.927000045776367
2017-01-18,0.5149999856948853,1.8849999904632568,2.3889999389648438,2.984999895095825
2017-01-19,0.503000020980835,1.9529999494552612,2.4590001106262207,3.0320000648498535
2017-01-20,0.47999998927116394,1.940000057220459,2.4670000076293945,3.0460000038146973
2017-01-23,0.4729999899864197,1.8669999837875366,2.4030001163482666,2.990999937057495
2017-01-24,0.49300000071525574,1.937000036239624,2.4709999561309814,3.055999994277954
2017-01-25,0.4830000102519989,1.9869999885559082,2.5230000019073486,3.1080000400543213
2017-01-26,0.4880000054836273,1.9620000123977661,2.507999897003174,3.0910000801086426
2017-01-27,0.49799999594688416,1.940999984741211,2.4809999465942383,3.059000015258789
2017-01-30,0.4950000047683716,1.9359999895095825,2.4830000400543213,3.0769999027252197
2017-01-31,0.5,1.9079999923706055,2.4509999752044678,3.0510001182556152
2017-02-01,0.5,1.9259999990463257,2.4739999771118164,3.0810000896453857
2017-02-02,0.4880000054836273,1.9210000038146973,2.4700000286102295,3.0829999446868896
2017-02-03,0.4880000054836273,1.9329999685287476,2.490999937057495,3.114000082015991
2017-02-06,0.503000020980835,1.8539999723434448,2.4130001068115234,3.0480000972747803
2017-02-07,0.5249999761581421,1.843999981880188,2.3889999389648438,3.0190000534057617
2017-02-08,0.5249999761581421,1.815999984741211,2.3510000705718994,2.9609999656677246
2017-02-09,0.527999997138977,1.8700000047683716,2.3949999809265137,3.010999917984009
2017-02-10,0.5230000019073486,1.8869999647140503,2.4089999198913574,3.01200008392334
2017-02-13,0.5230000019073486,1.9110000133514404,2.434000015258789,3.0339999198913574
2017-02-14,0.5350000262260437,1.9600000381469727,2.4700000286102295,3.062000036239624
2017-02-15,0.5199999809265137,2.000999927520752,2.502000093460083,3.0910000801086426
2017-02-16,0.5080000162124634,1.940999984741211,2.450000047683716,3.0510001182556152
2017-02-17,0.5080000162124634,1.909999966621399,2.424999952316284,3.0309998989105225
2017-02-21,0.5049999952316284,1.9170000553131104,2.427000045776367,3.0369999408721924
2017-02-22,0.5099999904632568,1.9119999408721924,2.4179999828338623,3.0369999408721924
2017-02-23,0.49799999594688416,1.878000020980835,2.388000011444092,3.0230000019073486
2017-02-24,0.49799999594688416,1.8040000200271606,2.316999912261963,2.9549999237060547
2017-02-27,0.49000000953674316,1.8700000047683716,2.36899995803833,2.9860000610351562
2017-02-28,0.5230000019073486,1.8799999952316284,2.3580000400543213,2.9679999351501465
2017-03-01,0.6150000095367432,1.9919999837875366,2.4630000591278076,3.071000099182129
2017-03-02,0.6449999809265137,2.0299999713897705,2.489000082015991,3.0820000171661377
2017-03-03,0.6830000281333923,2.0169999599456787,2.492000102996826,3.0840001106262207
2017-03-06,0.7049999833106995,2.0160000324249268,2.49399995803833,3.0980000495910645
2017-03-07,0.7350000143051147,2.0439999103546143,2.510999917984009,3.109999895095825
2017-03-08,0.7080000042915344,2.0810000896453857,2.552000045776367,3.1459999084472656
2017-03-09,0.7129999995231628,2.125,2.5980000495910645,3.183000087738037
2017-03-10,0.7250000238418579,2.1050000190734863,2.5820000171661377,3.1689999103546143
