,weight
TPL,0.37844475856910076
HWM,0.26499498747289507
AXON,0.2116208142869738
VTR,0.1449394396710304
CVS,0.0
RTX,0.0
FFIV,0.0
FI,0.0
AEE,0.0
DE,0.0
WEC,0.0
WFC,0.0
WBD,0.0
MO,0.0
KMI,0.0
BMY,0.0
FTNT,0.0
ICE,0.0
AIG,0.0
MOS,0.0
CAH,0.0
NRG,0.0
TKO,0.0
DTE,0.0
BKR,0.0
AON,0.0
PGR,0.0
NI,0.0
KR,0.0
WM,0.0
MNST,0.0
IBKR,0.0
TDY,0.0
V,0.0
ABT,0.0
IBM,0.0
JBL,0.0
SCHW,0.0
DRI,0.0
BK,0.0
EXC,0.0
CVX,0.0
TPR,0.0
GILD,0.0
COR,0.0
YUM,0.0
NFLX,0.0
ETR,0.0
TRGP,0.0
CTRA,0.0
WMB,0.0
TMUS,0.0
MMM,0.0
WBA,0.0
MCK,0.0
T,0.0
PM,0.0
VRSN,0.0
TTWO,0.0
EQT,0.0
AJG,0.0
CNP,0.0
GL,0.0
VRTX,0.0
ED,0.0
PSKY,0.0
ABBV,0.0
BRK-B,0.0
AZO,0.0
BSX,0.0
PAYC,0.0
RSG,0.0
ORLY,0.0
GE,0.0
SMCI,0.0
BRO,0.0
INTC,0.0
CME,0.0
WELL,0.0
NEM,0.0
