,RBF-DivMom (excess),RBF-Graph (excess),S&P 500 (excess)
CAGR,-0.5814,-0.329,-0.2667
Vol,0.2501,0.3328,0.1257
Sharpe,-3.3336,-1.0343,-2.4023
MaxDD,-0.2186,-0.227,-0.0919
