,RBF-DivMom (excess),RBF-Graph (excess),S&P 500 (excess)
CAGR,0.0743,0.1255,0.212
Vol,0.0661,0.1349,0.1078
Sharpe,1.1131,0.9346,1.8328
MaxDD,-0.0184,-0.0292,-0.0244
