,weight
VST,0.3170737004112417
TPR,0.28657340216434063
CCL,0.19414007366233044
GNRC,0.11205495536230332
NVDA,0.09015786839978389
MNST,0.0
INCY,0.0
PWR,0.0
NRG,0.0
MTCH,0.0
RTX,0.0
BA,0.0
AMD,0.0
HSY,0.0
CAT,0.0
URI,0.0
NDAQ,0.0
CHRW,0.0
KLAC,0.0
ALLE,0.0
EA,0.0
AXON,0.0
BK,0.0
RCL,0.0
GD,0.0
CBOE,0.0
ORLY,0.0
WBD,0.0
NUE,0.0
GL,0.0
WELL,0.0
TRMB,0.0
META,0.0
RMD,0.0
GOOG,0.0
PHM,0.0
TER,0.0
BEN,0.0
GOOGL,0.0
LDOS,0.0
WYNN,0.0
INTU,0.0
SNPS,0.0
C,0.0
GE,0.0
TEL,0.0
GLW,0.0
HII,0.0
EBAY,0.0
IDXX,0.0
ANET,0.0
AVGO,0.0
JBL,0.0
DG,0.0
APH,0.0
EL,0.0
NEM,0.0
DLTR,0.0
STX,0.0
ORCL,0.0
ULTA,0.0
IVZ,0.0
WDC,0.0
MU,0.0
GILD,0.0
ADM,0.0
PTC,0.0
MSFT,0.0
IBKR,0.0
FAST,0.0
HAS,0.0
LRCX,0.0
CSGP,0.0
LHX,0.0
DHI,0.0
HWM,0.0
NOC,0.0
LVS,0.0
DELL,0.0
CBRE,0.0
