,weight
VST,0.20978716203728015
TRGP,0.13494448900255657
RCL,0.12372521117304332
NCLH,0.08064640149387539
AXON,0.08011300191006451
IBKR,0.07082884884512212
XYZ,0.06398689189589868
NVDA,0.04081062780671312
TSLA,0.04012485717245759
FICO,0.031107615215163545
NRG,0.03029179181233079
NOW,0.02536479619557109
TPL,0.019844496453541537
SYF,0.01922528047523828
EQT,0.011453977287541916
PAYC,0.010329969065661275
CCL,0.007414582157940012
PYPL,0.0
CMI,0.0
RF,0.0
BKR,0.0
PNR,0.0
BMY,0.0
ADSK,0.0
OKE,0.0
RL,0.0
LVS,0.0
ANET,0.0
GNRC,0.0
TTD,0.0
PNC,0.0
GS,0.0
NTRS,0.0
URI,0.0
IRM,0.0
BK,0.0
WMT,0.0
KEY,0.0
GWW,0.0
CPAY,0.0
EMR,0.0
ZBRA,0.0
PKG,0.0
GILD,0.0
CHTR,0.0
ETR,0.0
PODD,0.0
AMP,0.0
WBD,0.0
UAL,0.0
APO,0.0
TPR,0.0
EXPE,0.0
LYV,0.0
KKR,0.0
BX,0.0
RJF,0.0
ORCL,0.0
DAL,0.0
FTNT,0.0
BKNG,0.0
COF,0.0
KMI,0.0
CBRE,0.0
DLR,0.0
CRM,0.0
MTB,0.0
FI,0.0
SNA,0.0
WMB,0.0
GDDY,0.0
MS,0.0
WFC,0.0
NFLX,0.0
FFIV,0.0
HWM,0.0
PWR,0.0
TRMB,0.0
TMUS,0.0
HBAN,0.0
