,RBF-DivMom (excess),RBF-Graph (excess),S&P 500 (excess)
CAGR,0.3152,0.0707,0.1272
Vol,0.2693,0.3658,0.1361
Sharpe,1.1388,0.3462,0.9426
MaxDD,-0.0643,-0.086,-0.0278
