,RBF-DivMom (excess),RBF-Graph (excess),S&P 500 (excess)
CAGR,0.5574,1.6956,0.5561
Vol,0.2264,0.3874,0.0718
Sharpe,2.0657,2.7528,6.2201
MaxDD,-0.061,-0.0688,-0.0067
