,weight
SMCI,0.21174512654473504
VST,0.1433016787878815
NVDA,0.10901244221648895
AVGO,0.10296077565701471
DELL,0.09068598344086586
MU,0.08220321475695892
WSM,0.07954649015618752
ANET,0.05872154298389574
TER,0.03456288304220236
CTAS,0.023519052840945277
FICO,0.01737239526088126
TPL,0.01640041665039752
NRG,0.015251830176880123
WDC,0.011672696836917119
GOOGL,0.003043470647748236
RMD,0.0
DVA,0.0
FIS,0.0
KMB,0.0
AAPL,0.0
HPQ,0.0
HAS,0.0
KKR,0.0
LRCX,0.0
ISRG,0.0
ACGL,0.0
RTX,0.0
GM,0.0
VRTX,0.0
IFF,0.0
IP,0.0
TDG,0.0
GRMN,0.0
TSCO,0.0
ADI,0.0
PWR,0.0
BRO,0.0
MTD,0.0
ESS,0.0
PEG,0.0
ETN,0.0
TJX,0.0
RCL,0.0
XYL,0.0
GLW,0.0
WMT,0.0
IRM,0.0
APH,0.0
GOOG,0.0
DECK,0.0
CMG,0.0
KLAC,0.0
AMAT,0.0
HPE,0.0
IBKR,0.0
JCI,0.0
TKO,0.0
NTAP,0.0
HWM,0.0
LLY,0.0
GE,0.0
QCOM,0.0
BSX,0.0
MPWR,0.0
COST,0.0
TT,0.0
NFLX,0.0
DPZ,0.0
LDOS,0.0
GDDY,0.0
MCK,0.0
TRGP,0.0
META,0.0
WAB,0.0
STX,0.0
FSLR,0.0
TTD,0.0
NEE,0.0
ORCL,0.0
WELL,0.0
