Ticker,0.0_1.0_0.0,0.0_1.0_0.15,0.0_1.0_0.3,0.0_1.0_0.45,0.0_1.0_0.6,0.0_1.0_0.75,0.0_1.0_0.9,0.0_1.0_1.0,0.1_0.9_0.0,0.1_0.9_0.15,0.1_0.9_0.3,0.1_0.9_0.45,0.1_0.9_0.6,0.1_0.9_0.75,0.1_0.9_0.9,0.1_0.9_1.0,0.2_0.8_0.0,0.2_0.8_0.15,0.2_0.8_0.3,0.2_0.8_0.45,0.2_0.8_0.6,0.2_0.8_0.75,0.2_0.8_0.9,0.2_0.8_1.0,0.3_0.7_0.0,0.3_0.7_0.15,0.3_0.7_0.3,0.3_0.7_0.45,0.3_0.7_0.6,0.3_0.7_0.75,0.3_0.7_0.9,0.3_0.7_1.0,0.4_0.6_0.0,0.4_0.6_0.15,0.4_0.6_0.3,0.4_0.6_0.45,0.4_0.6_0.6,0.4_0.6_0.75,0.4_0.6_0.9,0.4_0.6_1.0,0.5_0.5_0.0,0.5_0.5_0.15,0.5_0.5_0.3,0.5_0.5_0.45,0.5_0.5_0.6,0.5_0.5_0.75,0.5_0.5_0.9,0.5_0.5_1.0,0.6_0.4_0.0,0.6_0.4_0.15,0.6_0.4_0.3,0.6_0.4_0.45,0.6_0.4_0.6,0.6_0.4_0.75,0.6_0.4_0.9,0.6_0.4_1.0,0.7_0.3_0.0,0.7_0.3_0.15,0.7_0.3_0.3,0.7_0.3_0.45,0.7_0.3_0.6,0.7_0.3_0.75,0.7_0.3_0.9,0.7_0.3_1.0,0.8_0.2_0.0,0.8_0.2_0.15,0.8_0.2_0.3,0.8_0.2_0.45,0.8_0.2_0.6,0.8_0.2_0.75,0.8_0.2_0.9,0.8_0.2_1.0,0.9_0.1_0.0,0.9_0.1_0.15,0.9_0.1_0.3,0.9_0.1_0.45,0.9_0.1_0.6,0.9_0.1_0.75,0.9_0.1_0.9,0.9_0.1_1.0,1.0_0.0_0.0,1.0_0.0_0.15,1.0_0.0_0.3,1.0_0.0_0.45,1.0_0.0_0.6,1.0_0.0_0.75,1.0_0.0_0.9,1.0_0.0_1.0
NVDA,0.1103414914534591,0.11071230214912399,0.1127644944440037,0.1157933218671607,0.12294095884945232,0.12490389767776555,0.1265994476233356,0.1370547668046122,0.10329580334956347,0.1037253842383644,0.10557408992172605,0.10826616672172022,0.11473124693496631,0.11667539268822248,0.11819347275049209,0.12771608357202957,0.09625011524566794,0.09673846632760498,0.09838368539944857,0.10073901157627994,0.1065215350204805,0.10844688769867963,0.1097874978776488,0.11837740033944721,0.08920442714177262,0.0897515484168457,0.09119328087717127,0.09321185643083989,0.09831182310599494,0.10021838270913704,0.10138152300480577,0.10903871710686515,0.08215873903787745,0.08276463050608662,0.08400287635489415,0.08568470128539997,0.0901021111915096,0.09198987771959465,0.09297554813196292,0.09970003387428333,0.07511305093398248,0.07577771259532769,0.07681247183261719,0.07815754613996029,0.08189239927702448,0.08376137273005248,0.08456957325912033,0.09036135064170181,0.06806736283008763,0.06879079468456893,0.06962206731034042,0.07063039099452077,0.07368268736253955,0.07553286774051055,0.076163598386278,0.08102266740912058,0.061021674726192986,0.06180387677381033,0.06243166278806381,0.06310323584908144,0.06547297544805487,0.06730436275096884,0.06775762351343585,0.0716839841765396,0.053975986622298515,0.05481695886305192,0.05524125826578738,0.05557608070364232,0.057263263533570405,0.05907585776142734,0.059351648640593974,0.06234530094395891,0.0469302985184042,0.04783004095229367,0.048050853743511125,0.04804892555820337,0.04905355161908616,0.05084735277188608,0.05094567376775231,0.05300661771137851,0.03988461041451005,0.040843123041535576,0.04086044922123506,0.04052177041276462,0.04084383970460214,0.04261884778234504,0.04253969889491088,0.04366793447879838
FSLR,0.0864844026743957,0.086775039868958,0.08838352478662408,0.09075748518035365,0.09635972153591028,0.09789825060432199,0.09922720331572414,0.1074219632582635,0.08073256506600285,0.08106375010795935,0.08251264484019967,0.0846246127919091,0.08969001565556285,0.09120360101455026,0.0923939103009398,0.09985113187274343,0.0749807274576101,0.0753524603469608,0.07664176489377539,0.07849174040346472,0.0830203097752156,0.08450895142477874,0.08556061728615566,0.09228030048722356,0.06922888984921752,0.0696411705859624,0.07077088494735127,0.0723588680150205,0.07635060389486852,0.0778143018350074,0.0787273242713717,0.08470946910170395,0.06347705224082509,0.06392988082496415,0.0649000050009273,0.06622599562657644,0.06968089801452163,0.07111965224523623,0.07189403125658793,0.07713863771618452,0.05772521463243278,0.058218591063966034,0.05902912505450345,0.06009312323813254,0.0630111921341749,0.06442500265546525,0.06506073824180436,0.06956780633066535,0.0519733770240406,0.05250730130296805,0.05315824510807977,0.05396025084968878,0.056341486253828364,0.057730353065694455,0.05822744522702098,0.0619969749451464,0.04622153941564856,0.046796011541970196,0.04728736516165621,0.04782737846124518,0.049671780373481994,0.05103570347592383,0.05139415221223776,0.05442614355962767,0.040469701807256675,0.0410847217809725,0.041416485215232814,0.04169450607280174,0.04300207449313582,0.04434105388615339,0.04456085919745476,0.04685531217410917,0.034717864198864926,0.03537343201997492,0.035545605268809545,0.03556163368435845,0.03633236861278982,0.03764640429638315,0.03772756618267194,0.0392844807885909,0.028966026590473305,0.029662142258977488,0.029674725322386433,0.02942876129591531,0.029662662732443994,0.030951754706613075,0.030894273167889306,0.03171364940307285
VST,0.08297717179632375,0.08325602268362645,0.08479927817499479,0.08707696655968299,0.09245201355247741,0.09392815013752007,0.09520320938558324,0.10306564449011606,0.07903922331041087,0.07939496368996606,0.08078578754905044,0.08279868626816252,0.08767143381004687,0.08919398206535285,0.09033288365958458,0.09753240217416423,0.07510127482449805,0.07553390469630576,0.07677229692310619,0.07852040597664214,0.08289085406761644,0.08445981399318578,0.08546255793358606,0.09199915985821257,0.07116332633858535,0.07167284570264554,0.07275880629716205,0.07424212568512191,0.07811027432518618,0.07972564592101884,0.0805922322075877,0.08646591754226109,0.06722537785267274,0.06781178670898544,0.06874531567121799,0.06996384539360176,0.073329694582756,0.07499147784885202,0.07572190648158944,0.08093267522630976,0.06328742936676021,0.06395072771532541,0.06473182504527403,0.06568556510208173,0.06854911484032597,0.07025730977668533,0.07085158075559132,0.07539943291035858,0.05934948088084779,0.06008966872166547,0.06071833441933018,0.0614072848105618,0.06376853509789607,0.06552314170451878,0.06598125502959337,0.0698661905944076,0.05541153239493546,0.05622860972800563,0.05670484379338641,0.05712900451904198,0.0589879553554663,0.060788973632352354,0.06111092930359552,0.06433294827845676,0.05147358390902323,0.0523675507343459,0.05269135316744276,0.052850724227522274,0.05420737561303664,0.056054805560186056,0.05624060357759782,0.05879970596250609,0.047535635423111094,0.04850649174068625,0.048677862541499195,0.04857244393600267,0.049426795870607124,0.0513206374880199,0.05137027785160025,0.053266463646555594,0.043597686937199044,0.04464543274702668,0.04466437191555574,0.04429416364448318,0.044646216128177735,0.04658646941585385,0.04649995212560281,0.04773322133060525
SMCI,0.077698633620205,0.07795974559182514,0.07940482790073448,0.0815376226377892,0.08657073955348316,0.08795297268112141,0.08914691987424209,0.09650919134390912,0.0720802184607962,0.07236692314428499,0.07366843182785136,0.07556967814219555,0.08011685636788225,0.08145661333682921,0.08252689637614066,0.08921379977189814,0.06646180330138751,0.06677410069674497,0.06793203575496837,0.06960173364660206,0.07366297318228153,0.07496025399253721,0.07590687287803942,0.08191840819988734,0.060843388141978996,0.06118127824920508,0.06219563968208552,0.06363378915100872,0.06720908999668097,0.0684638946482454,0.06928684937993837,0.07462301662787679,0.055224972982570585,0.05558845580166533,0.056459243609202805,0.05766584465541554,0.060755206811080584,0.06196753530395375,0.0626668258818375,0.06732762505586644,0.049606557823162326,0.04999563335412571,0.05072284753632024,0.051697900159822514,0.05430132362548038,0.05547117595966227,0.05604680238373681,0.060032233483856313,0.043988142663754184,0.04440281090658623,0.04498645146343781,0.04572995566422961,0.047847440439880345,0.04897481661537098,0.04942677888563631,0.05273684191184642,0.038369727504346196,0.03880998845904688,0.03925005539055551,0.03976201116863688,0.04139355725428048,0.04247845727107987,0.04280675538753597,0.045441450339836716,0.03275131234493833,0.03321716601150767,0.03351365931767337,0.033794066673044305,0.034939674068680794,0.03598209792678893,0.036186731889435844,0.03814605876782725,0.02713289718553061,0.027624343563968593,0.02777726324479136,0.027826122177451867,0.028485790883081282,0.02948573858249817,0.029566708391335884,0.030850667195817996,0.021514482026123022,0.02203152111642965,0.022040867171909492,0.021858177681859586,0.022031907697481944,0.02298937923820758,0.022946684893236112,0.023555275623808956
DELL,0.05713291522813136,0.0573249145908556,0.058387504255638586,0.059955778692828504,0.06365670145915678,0.06467307722314879,0.0655510036498201,0.07096458703172394,0.054461824642017966,0.054707734673825344,0.05566538692747589,0.05705100117549279,0.06040639751881262,0.06145652454888475,0.06224062124698062,0.06719890252427504,0.05179073405590461,0.05209055475679516,0.05294326959931325,0.054146223658157154,0.057156093578468535,0.058239971874620794,0.058930238844141246,0.06343321801682628,0.04911964346979134,0.049473374839765015,0.05022115227115068,0.0512414461408216,0.053905789638124556,0.05502341920035695,0.055619856441301956,0.05966753350937763,0.04644855288367812,0.046856194922734955,0.04749903494298818,0.04833666862348611,0.05065548569778066,0.05180686652609317,0.052309474038462755,0.05590184900192908,0.043777462297564976,0.04423901500570494,0.04477691761482574,0.04543189110615071,0.04740518175743684,0.048590313851829485,0.04899909163562366,0.05213616449448064,0.04110637171145188,0.041621835088675,0.04205480028666338,0.04252711358881536,0.04415487781709312,0.04537376117756589,0.045688709232784654,0.048370479987032325,0.038435281125338866,0.03900465517164512,0.03933268295850106,0.039622336071480094,0.040904573876749485,0.04215720850330238,0.04237832682994572,0.04460479547958412,0.0357641905392259,0.03638747525461531,0.036610565630338834,0.03671755855414491,0.03765426993640593,0.03894065582903896,0.0390679444271069,0.04083911097213601,0.033093099953113006,0.03377029533758555,0.03388844830217665,0.03381278103680979,0.03440396599606246,0.03572410315477564,0.035757562024268164,0.03707342646468804,0.03042200936700018,0.03115311542055586,0.031166330974014556,0.030908003519474744,0.031153662055719088,0.03250755048051238,0.03244717962142951,0.033307741957240164
MU,0.05577680644302449,0.05596424850245893,0.0570016165034493,0.058532666326189906,0.0621457438660602,0.06313799490095313,0.06399508283662267,0.069280169222464,0.05453068588315657,0.05480348040432218,0.05573899326803086,0.057080156813833376,0.060366904062814454,0.061452699938795596,0.06221548333035744,0.06709459004731531,0.053284565323288666,0.053642712306185454,0.05447637003261245,0.0556276473014769,0.05858806425956875,0.05976740497663811,0.060435883824092256,0.0649090108721667,0.05203844476342081,0.05248194420804875,0.053213746797194074,0.05417513778912046,0.056809224456323096,0.058082110014480666,0.05865628431782713,0.06272343169701816,0.050792324203552966,0.05132117610991208,0.051951123561775725,0.05272262827676405,0.05503038465307749,0.05639681505232326,0.056876684811562044,0.060537852521869676,0.04954620364368517,0.05016040801177544,0.0506885003263574,0.051270118764407686,0.053251544849831946,0.054711520090165916,0.055097085305297014,0.05835227334672125,0.048300083083817384,0.048999639913638815,0.04942587709093912,0.04981760925205135,0.05147270504658642,0.05302622512800862,0.05331748579903203,0.056166694171572905,0.047053962523949645,0.04783887181550223,0.04816325385552085,0.04836509973969505,0.04969386524334097,0.05134093016585136,0.051537886292767086,0.05398111499642461,0.04580784196408192,0.04667810371736568,0.04690063062010264,0.0469125902273388,0.04791502544009555,0.04965563520369414,0.04975828678650221,0.051795535821276384,0.04456172140421424,0.045517335619229146,0.04563800738468444,0.04546008071498257,0.04613618563685019,0.047970340241536985,0.047978687280237374,0.04960995664612824,0.04331560084434658,0.044356567521092634,0.04437538414926628,0.04400757120262639,0.04435734583360487,0.046285045279379856,0.04619908777397259,0.047424377470980134
AVGO,0.04608173059430381,0.04623659163844986,0.04709364523827582,0.048358569316172946,0.051343624869303404,0.052163403694729035,0.05287151335295223,0.057237950632733445,0.04535328354133907,0.04558589660795577,0.04635893023043855,0.04746441733953841,0.05018229622823476,0.05109275888021655,0.05172235846276602,0.05576189973156409,0.044624836488374335,0.04493520157746169,0.04562421522260128,0.04657026536290392,0.04902096758716614,0.0500221140657041,0.05057320357257986,0.05428584883039478,0.04389638943540963,0.04428450654696762,0.04488950021476404,0.045676113386269444,0.04785963894609756,0.048951469251191676,0.049424048682393716,0.052809797929225515,0.04316794238244493,0.043633811516473574,0.04415478520692682,0.04478196140963499,0.046698310305029,0.04788082443667927,0.04827489379220761,0.051333747028056285,0.042439495329480256,0.042983116485979536,0.043420070199089604,0.04388780943300056,0.04553698166396049,0.04681017962216691,0.047125738902021534,0.049857696126887105,0.04171104827651559,0.04233242145548552,0.04268535519125242,0.04299365745636614,0.04437565302289199,0.045739534807654574,0.045976584011835506,0.04838164522571797,0.040982601223550956,0.041681726424991516,0.041950640183415246,0.04209950547973175,0.043214324381823536,0.044668889993142266,0.04482742912164947,0.046905594324548876,0.04025415417058633,0.04103103139449753,0.041215925175578094,0.0412053535030974,0.0420529957407551,0.043598245178629993,0.04367827423146351,0.045429543423379834,0.03952570711762173,0.04038033636400356,0.04048121016774096,0.04031120152646305,0.04089166709968671,0.04252760036411774,0.042529119341277566,0.04395349252221083,0.03879726006465714,0.0397296413335096,0.03974649515990384,0.039417049549828734,0.03973033845861834,0.04145695554960552,0.04137996445109164,0.04247744162104187
TPL,0.04377232049254743,0.04391942059423088,0.04473352250331827,0.0459350542475123,0.048770512175731605,0.0495492073552909,0.05022182972654025,0.05436944071154991,0.043300787008592447,0.04352703940321867,0.044261427786714866,0.045309641250384794,0.04789309200576574,0.048767735248400654,0.04936534473151245,0.05320867703355716,0.04282925352463746,0.04313465821220647,0.043789333070111465,0.04468422825325731,0.04701567183579988,0.047986263141510443,0.048508859736484694,0.05204791335556444,0.042357720040682494,0.04274227702119427,0.04331723835350807,0.04405881525612985,0.046138251665834074,0.04720479103462026,0.04765237474145695,0.05088714967757178,0.041886186556727545,0.04234989583018209,0.0428451436369047,0.0434334022590024,0.045260831495868264,0.04642331892773008,0.046795889746429224,0.049726385999579126,0.041414653072772596,0.04195751463916991,0.04237304892030134,0.04280798926187497,0.0443834113259025,0.045641846820839924,0.04593940475140154,0.04856562232158652,0.040943119588817654,0.041565133448157744,0.041900954203697986,0.04218257626474754,0.043505991155936743,0.044860374713949804,0.04508291975637388,0.04740485864359395,0.04047158610486274,0.041172752257145576,0.041428859487094634,0.04155716326762014,0.042628570985971025,0.04407890260705969,0.04422643476134622,0.046244094965601404,0.04000005262090783,0.04078037106613344,0.04095676477049131,0.040931750270492756,0.041751150816005306,0.04329743050016961,0.043369949766318604,0.0450833312876089,0.03952851913695293,0.040387989875121294,0.04048467005388799,0.04030633727336539,0.040873730646039635,0.042515958393279554,0.04251346477129101,0.04392256760961643,0.03905698565299805,0.03999560868410916,0.04001257533728469,0.03968092427623804,0.03999631047607398,0.041734486286389504,0.04165697977626343,0.042761803931623994
QCOM,0.04341985592906815,0.04356577154766859,0.04437331812519518,0.04556517486571203,0.0483778010493565,0.04915022600029967,,,0.044179514511342506,0.04443344200609277,0.045162450119100715,0.04619180074812058,0.04876436022605039,0.049686584127875674,,,0.044939173093616835,0.04530111246451692,0.0459515821130062,0.04681842663052912,0.04915091940274426,0.05022294225545167,,,0.045698831675891165,0.04616878292294104,0.04674071410691169,0.04744505251293764,0.04953747857943814,0.050759300383027645,,,0.046458490258165466,0.04703645338136516,0.047529846100817154,0.04807167839534616,0.04992403775613199,0.0512956585106036,,,0.04721814884043975,0.047904123839789245,0.0483189780947226,0.04869830427775465,0.05031059693282584,0.05183201663817955,,,0.04797780742271401,0.048771794298213315,0.04910811008862802,0.04932493016016312,0.05069715610951967,0.052368374765755496,,,0.04873746600498825,0.04963946475663735,0.04989724208253342,0.049951556042571586,0.051083715286213506,0.05290473289333141,,,0.049497124587262485,0.05050713521506138,0.05068637407643881,0.050578181924980044,0.05147027446290731,0.05344109102090732,,,0.050256783169536696,0.05137480567348538,0.05147550607034417,0.05120480780738846,0.05185683363960113,0.053977449148483216,,,0.05101644175181089,0.052242476131909354,0.05226463806424953,0.05183143368979688,0.05224339281629492,0.05451380727605908,,
WDC,0.042016350399616265,0.042157549434682355,0.042938992837460964,0.04409232394287754,0.046814034661314695,0.0475614917106714,0.048207131167730684,0.05218835662040308,0.04219933369816707,0.04243178460090532,0.043136988375134654,0.0441377545329914,0.0466227000894981,0.04749054266092113,0.04806291713045133,0.051770049892476154,0.04238231699671787,0.04270601976712829,0.04333498391280833,0.044183185123105276,0.04643136551768152,0.04741959361117085,0.04791870309317196,0.051351743164549234,0.042565300295268664,0.04298025493335123,0.043532979450482005,0.04422861571321914,0.04624003094586493,0.04734864456142059,0.04777448905589262,0.05093343643662234,0.04274828359381945,0.043254490099574175,0.04373097498815568,0.044274046303333,0.046048696374048355,0.04727769551167032,0.04763027501861327,0.05051512970869545,0.04293126689237023,0.04352872526579711,0.04392897052582934,0.044319476893446876,0.04585736180223179,0.04720674646192005,0.04748606098133393,0.05009682298076857,0.043114250190921,0.04380296043202004,0.044126966063503005,0.04436490748356073,0.04566602723041521,0.0471357974121698,0.04734184694405459,0.04967851625284171,0.04329723348947178,0.04407719559824296,0.044324961601176646,0.04441033807367459,0.04547469265859866,0.04706484836241954,0.04719763290677525,0.04926020952491486,0.04348021678802255,0.04435143076446589,0.044522957138850294,0.04445576866378846,0.045283358086782105,0.04699389931266928,0.04705341886949593,0.04884190279698801,0.04366320008657331,0.04462566593068879,0.04472095267652394,0.04450119925390232,0.04509202351496556,0.04692295026291904,0.046909204832216604,0.04842359606906118,0.043846183385124075,0.04489990109691169,0.044918948214197583,0.04454662984401618,0.04490068894314901,0.04685200121316877,0.04676499079493728,0.04800528934113436
