,RBF_DivMom,RBF_Graph,SP500
2022-10-14,0.686131811211851,0.7625641508243237,0.7867515144334661
2022-10-21,0.7244538554619095,0.8203643612614546,0.8240089335294744
2022-10-28,0.7725578636269136,0.8482524952267858,0.8565740692868601
2022-11-04,0.7890694716068246,0.8755092153663376,0.8279173738070402
2022-11-11,0.7945921228528284,0.9025970451939604,0.8767463685641482
2022-11-18,0.81118813547238,0.9138623537115981,0.8706883370606688
2022-11-25,0.8210322482739549,0.9323345497960791,0.8840340934048985
2022-12-02,0.8287629671588214,0.917492157844705,0.8940422715121307
2022-12-09,0.795751322172151,0.8697640183412815,0.8638902594993392
2022-12-16,0.7869619333183038,0.8612133393091627,0.845880792402422
2022-12-23,0.7879677081891477,0.8631605487775508,0.844225190631278
2022-12-30,0.7724365862065631,0.8315998959901032,0.8430570382483288
