,RBF-DivMom (excess),RBF-Graph (excess),S&P 500 (excess)
CAGR,0.2994,0.132,0.2118
Vol,0.244,0.2746,0.2212
Sharpe,1.1869,0.5775,0.9704
MaxDD,-0.0709,-0.1116,-0.06
