,weight
SMCI,0.22451538077077632
TPL,0.21685980431209245
STLD,0.18820091009485662
FSLR,0.1529597168371636
TKO,0.11884224152895717
JBL,0.06356023282869286
ERIE,0.035061713627460946
LULU,0.0
TT,0.0
WTW,0.0
ANET,0.0
LW,0.0
APO,0.0
AXON,0.0
AMP,0.0
HUM,0.0
CAT,0.0
UHS,0.0
COR,0.0
EG,0.0
CI,0.0
HUBB,0.0
CSGP,0.0
IDXX,0.0
SJM,0.0
HPE,0.0
ADP,0.0
LMT,0.0
GE,0.0
RJF,0.0
HAL,0.0
MPC,0.0
RL,0.0
CMI,0.0
CPRT,0.0
AME,0.0
DHI,0.0
WMT,0.0
URI,0.0
DD,0.0
A,0.0
IEX,0.0
AFL,0.0
GIS,0.0
SLB,0.0
MRK,0.0
APD,0.0
ORLY,0.0
PODD,0.0
CAH,0.0
ACGL,0.0
LVS,0.0
WYNN,0.0
ROST,0.0
ENPH,0.0
GILD,0.0
DXCM,0.0
FICO,0.0
BIIB,0.0
NFLX,0.0
DECK,0.0
SBUX,0.0
NDAQ,0.0
GPC,0.0
PCAR,0.0
RCL,0.0
AZO,0.0
JCI,0.0
LLY,0.0
IBKR,0.0
GL,0.0
DE,0.0
IT,0.0
BA,0.0
PFG,0.0
PCG,0.0
XYL,0.0
ISRG,0.0
TJX,0.0
AMGN,0.0
