,RBF-DivMom (excess),RBF-Graph (excess),S&P 500 (excess)
CAGR,-0.2729,-0.2601,-0.2489
Vol,0.2381,0.3985,0.1181
Sharpe,-1.2262,-0.568,-2.3625
MaxDD,-0.1112,-0.1696,-0.0727
