,weight
SMCI,0.3551942151905452
NVDA,0.25367810753419384
LLY,0.10351651174562505
MPC,0.07976670258480133
CAT,0.07453895416528351
VST,0.0730210876452821
INTC,0.03646920472405891
NFLX,0.023815216410209904
BXP,0.0
KLAC,0.0
CBOE,0.0
BG,0.0
FANG,0.0
PNR,0.0
FICO,0.0
PWR,0.0
NWS,0.0
TRGP,0.0
NRG,0.0
BRO,0.0
RCL,0.0
VRSK,0.0
MOH,0.0
VLO,0.0
IBKR,0.0
EQT,0.0
AMAT,0.0
FDX,0.0
CRM,0.0
LULU,0.0
KKR,0.0
EMR,0.0
HUBB,0.0
CDW,0.0
SHW,0.0
CMCSA,0.0
TJX,0.0
WSM,0.0
NWSA,0.0
COP,0.0
EOG,0.0
MAR,0.0
LRCX,0.0
ORCL,0.0
PHM,0.0
APA,0.0
GOOG,0.0
APO,0.0
AKAM,0.0
AMZN,0.0
ODFL,0.0
ANET,0.0
INTU,0.0
TTD,0.0
ETN,0.0
META,0.0
BX,0.0
ADBE,0.0
BLDR,0.0
LII,0.0
GOOGL,0.0
CHTR,0.0
CCL,0.0
GPN,0.0
DELL,0.0
NOW,0.0
DPZ,0.0
BKNG,0.0
CPAY,0.0
SLB,0.0
BKR,0.0
PSX,0.0
HAL,0.0
WDAY,0.0
DLR,0.0
BR,0.0
TPL,0.0
HAS,0.0
ERIE,0.0
WST,0.0
