embedding,gap,NMI,ARI,avg_same,avg_diff,n_used,n_sectors
QLSTM_FreeRun,2.989630130442088e-05,0.22839199255241424,0.011501175553739544,0.00032647239667552474,0.0003563686979799456,98,11
PCA2,0.12040055466136212,0.24809295990446906,0.09522220208198348,0.3205095963304286,0.4409101509917907,477,12
Random2D,-0.008924079747427704,0.046102450970878055,-0.004290003982476684,1.7977623862166066,1.7888383064691789,477,12
Shuffled2D,-4.933670884925726e-06,0.2118656741537149,-0.010416972976151968,0.00036103566175245275,0.000356101990867527,99,12
