,RBF_DivMom,RBF_Graph,SP500
2022-04-01,0.9727805757421019,0.9739236559308166,1.000616281680495
2022-04-08,1.0049399861242136,1.0174258539544065,0.9879419878383787
2022-04-15,1.0274089957744952,1.0314787085448147,0.9668791050738771
2022-04-22,0.9712490260152902,0.9669749466809535,0.9402868837438458
2022-04-29,0.9402875511615464,0.9410834894056698,0.9095037535251606
2022-05-06,0.9492503118925426,0.9936354871926445,0.9076128843928011
2022-05-13,0.9151339745090179,0.9580593848850072,0.88572236349076
2022-05-20,0.8857008732860283,0.9477118746029999,0.8587516029073796
2022-05-27,0.9745983730601622,1.0430689748998525,0.9152950171788253
2022-06-03,0.9718159990090556,1.0464783011761805,0.9043552112613389
2022-06-10,0.941026149329917,0.9964772234259104,0.858641544930256
2022-06-17,0.7795191573630739,0.8368305554115228,0.8088909326521494
2022-06-24,0.7495519093908085,0.8232079982905393,0.8610363807176279
2022-07-22,0.7563363888616851,0.854307463209001,0.8829837577645424
2022-07-29,0.7961356408335712,0.8996178409269256,0.9205754013445967
2022-08-05,0.7731369370542219,0.8639861301758418,0.9238963505879594
2022-08-12,0.7974729383501347,0.922284511953773,0.9539767611718346
2022-08-19,0.7935418101305372,0.9471428001089404,0.9424603643528066
2022-08-26,0.7815429293836804,0.9517362598039762,0.9043873110077838
2022-09-02,0.7639012744673465,0.8969348193710948,0.8746546124616784
2022-09-09,0.801676439502623,0.9248870919958883,0.906549328955306
2022-09-16,0.7726940799490064,0.8778783453193156,0.8633031475967161
2022-09-23,0.7238942302521787,0.7893071854982732,0.8231617245697426
2022-09-30,0.720550095390918,0.8007993316873249,0.7991772120677442
2022-10-14,0.686131811211851,0.7625641508243237,0.7867515144334661
2022-10-21,0.7244538554619095,0.8203643612614546,0.8240089335294744
2022-10-28,0.7725578636269136,0.8482524952267858,0.8565740692868601
2022-11-04,0.7890694716068246,0.8755092153663376,0.8279173738070402
2022-11-11,0.7945921228528284,0.9025970451939604,0.8767463685641482
2022-11-18,0.81118813547238,0.9138623537115981,0.8706883370606688
2022-11-25,0.8210322482739549,0.9323345497960791,0.8840340934048985
2022-12-02,0.8287629671588214,0.917492157844705,0.8940422715121307
2022-12-09,0.795751322172151,0.8697640183412815,0.8638902594993392
2022-12-16,0.7869619333183038,0.8612133393091627,0.845880792402422
2022-12-23,0.7879677081891477,0.8631605487775508,0.844225190631278
2022-12-30,0.7724365862065631,0.8315998959901032,0.8430570382483288
2023-01-06,0.8135063455774983,0.813919772938052,0.8552610169043187
2023-01-13,0.8428451084490217,0.8280371378908215,0.8780989829887536
2023-01-20,0.8220988937473175,0.7883283374540011,0.8722846493758202
2023-01-27,0.8456629914990861,0.8127312203095601,0.8937919799479075
2023-02-03,0.876167774206545,0.8196191649022696,0.9082663266330222
2023-02-10,0.8586534862068443,0.7924093276627058,0.898161494918959
2023-02-17,0.869091945141687,0.8043629098087778,0.8956649585219912
2023-02-24,0.8469787583785091,0.7805344069766269,0.8717203274018259
2023-03-03,0.8778494522138832,0.8791233026600942,0.8883201421164737
2023-03-10,0.8227783238578025,0.8296996993048172,0.8479074625410012
2023-03-17,0.8059007314313691,0.7946903597248215,0.859995006569128
2023-03-24,0.8164924535580179,0.862877503129743,0.8719289126398625
2023-03-31,0.8455862117624039,0.8650924851240214,0.9023004993468194
2023-04-28,0.8346648668588537,0.8109002748003536,0.9101501506263789
2023-05-05,0.8610132915748367,0.8851411272903228,0.9028964230942601
2023-05-12,0.8697646833579364,0.9753212321991245,0.9002398672936498
2023-05-19,0.8874971270407948,1.0034502895693524,0.9150616452216334
2023-05-26,0.936840968532094,1.1487347084270434,0.9180020402172775
2023-06-02,0.9531463315221715,1.172123040356573,0.9347927860197862
2023-06-09,0.9735798051219043,1.2145461272149807,0.9383923104116336
2023-06-16,0.9868672013974648,1.1855967444404611,0.9625634082162952
2023-06-23,0.9804490375558979,1.1649549105636101,0.9491910967596848
2023-06-30,1.0379952381901623,1.2577773771821714,0.9714674107227701
2023-07-21,1.037569836100756,1.2741037862508482,0.9781344244450239
2023-07-28,1.0736007562061425,1.3356906446524506,0.9880293450226655
2023-08-04,1.0468579630184167,1.324654259955808,0.9655614961445715
2023-08-11,0.9916536207592023,1.171514840318963,0.9625471055520339
2023-08-18,0.9598819325892942,1.1438896482028273,0.9422053648652609
2023-08-25,0.9750612124796006,1.168343136334698,0.9499677549182318
2023-09-01,1.0298536587753024,1.2427856178046306,0.9736991189198297
2023-09-08,1.018218993238908,1.2396056486723164,0.961132718236881
2023-09-15,0.9875852200152414,1.1681969438011712,0.9595866204459755
2023-09-22,0.9620168686273098,1.1183015427750325,0.9314997563073691
