,A,AAPL,ABBV,ABT,ACGL,ACN,ADBE,ADI,ADM,ADP,ADSK,AEE,AEP,AES,AFL,AIG,AIZ,AJG,AKAM,ALB,ALGN,ALL,ALLE,AMAT,AMCR,AMD,AME,AMGN,AMP,AMT,AMZN,ANET,AON,AOS,APA,APD,APH,APO,APTV,ARE,ATO,AVB,AVGO,AVY,AWK,AXON,AXP,AZO,BA,BAC,BALL,BAX,BBY,BDX,BEN,BF-B,BG,BIIB,BK,BKNG,BKR,BLDR,BLK,BMY,BR,BRK-B,BRO,BSX,BX,BXP,C,CAG,CAH,CAT,CB,CBOE,CBRE,CCI,CCL,CDNS,CDW,CF,CFG,CHD,CHRW,CHTR,CI,CINF,CL,CLX,CMCSA,CME,CMG,CMI,CMS,CNC,CNP,COF,COO,COP
CMI,0.3355462177582623,0.8818816462484906,0.8851189185904791,0.9690024436114192,0.8757776895358155,0.9178311582856884,0.8374976159277175,0.5525784018862142,0.6835550977640321,0.8112742268108292,0.06768260384506816,0.5530254527078018,0.49027559663821046,0.9672632362009216,0.9732992021550172,0.7969520176331945,0.8350669556254102,0.9946569982228084,0.571023648619298,0.1660841300964483,4.876182448815945e-11,0.7781678121937493,0.9840584894119677,0.0181930673025792,0.10405331779749986,0.033890677631288606,0.9439514420688369,0.3747127530890658,0.9734433508800312,0.10172822364464577,0.9755025549548383,0.8139438599936957,0.6968865654589672,0.44078249411095094,0.003039754463619654,0.8508578146521084,0.9323213133334722,0.6817642039877074,0.1849198141919896,0.42873769194124545,0.9582708372737696,0.9348546315212595,0.9053749287155974,0.2142685638069694,0.6537638141432686,0.044883769328089504,0.1709603016959452,0.5186069520462127,0.9380793699068133,0.29895862146002017,0.2142721113911977,0.17881574649843732,0.8876533875994603,0.4641698651850331,0.9029260865961967,0.13363206372460226,0.6273277569956006,0.046466360846346776,0.5729547848543042,0.8374627333673375,0.7235471630455268,0.4277238813134081,0.7484268748709093,0.6750035560139737,0.4357808436714677,0.44648591955348177,0.9866397628245356,0.9701639151239458,0.9557727471900546,0.10533130102627673,0.8092570412330001,0.5092924348698455,0.6324830410722907,0.26426693877717045,0.9074876240816837,0.03354023817793665,0.9984471515230149,0.024364176001419727,0.3405158151139487,0.9557963005693065,0.6396620378696345,0.7511601499955957,0.2285213691419019,0.6824048384007331,0.14278346249587404,0.0037778236200587075,0.8827981060014115,0.9731590952869671,0.4861816391733902,0.2159552890000853,0.9993259384629514,0.358665091387131,0.03585033268588554,1.0,0.46925375231746436,0.4098804303198392,0.670685478114496,0.3895781261361301,1.724591950174952e-11,0.6115062072174353
CMS,0.02557777611640757,0.22395116945773974,0.23453616043849504,0.5656290899048565,0.7721401486747124,0.3846385748064188,0.8083484020216504,0.07977314317265993,0.1118397362569814,0.8390821182929998,0.002014007320015287,0.9899508284516646,0.995099506344255,0.38361849419863153,0.5999657645216293,0.8031215760148434,0.18727190489640108,0.4389844474822415,0.07527472737957151,0.013858724355232636,6.214658540709282e-09,0.8478327029291731,0.5745538190920056,0.21813495029246174,0.6148101843079028,0.36824808902269324,0.6651649067588046,0.9835443764564812,0.5915848363554062,0.599279853088705,0.5838442006244531,0.1891729151388782,0.9232649972114586,0.9767337544175214,2.4517437770608974e-05,0.7986074074503345,0.6419927560358701,0.9388510501132405,0.01013559985129248,0.04162562050964201,0.6315058310495464,0.284790864471873,0.7107341843198872,0.7916447427294342,0.9529683346961988,0.3175541685522651,0.007970176552055048,0.06104828658119297,0.3100122059568365,0.020780881171353228,0.8665377254977187,0.2179267467264406,0.46316232737836016,0.9028358920399425,0.2708709111778121,0.6251111120392169,0.7112566166195399,0.37638733030054217,0.07571116706458846,0.7685996020781675,0.12656931249297113,0.7116582856328895,0.8944480807116576,0.9214634888390912,0.9727618534774487,0.04453247412470578,0.5645608202198656,0.5949966100089565,0.5490248294795685,0.003914287621430457,0.18094195734374724,0.9690607005632048,0.9550133472486657,0.7212717599413229,0.7071461436016968,0.3677872644519666,0.43806775510338036,0.2919599387707484,0.02634798112065717,0.5615557152864019,0.9569991383139702,0.731268539124697,0.012965413602599105,0.9302311543036962,0.005916119475568681,0.054046085327412945,0.4304531632518019,0.6003840159132386,0.9968284554996373,0.8723041013752495,0.48641519972772373,0.9760400271791695,0.32706360458160466,0.46925375231746436,1.0,0.2571505932908212,0.9223593225240169,0.03406868297478638,1.2954089533781661e-08,0.08818937929554492
CNC,0.09269385164040822,0.34193604511247183,0.26068060503468893,0.3279955957774109,0.43235236806589983,0.6259034732390294,0.4524054150698095,0.3567574977557692,0.28437932109915764,0.3509170006017565,0.03591047814448266,0.28908155674130853,0.29993685630535794,0.28792005536695015,0.4611140326957111,0.5327440254959677,0.2911536309451841,0.45395223750442465,0.24990286150473198,0.26037679403633773,5.243059727256835e-08,0.2955750049474486,0.40746836245894685,0.054213463750098216,0.14000404955100165,0.048622838151483924,0.37741415698594927,0.23339297004229925,0.3685094420842923,0.14596670264783937,0.36617975051641094,0.4281674275686726,0.39854674078349617,0.3227030621416673,0.0016887621447032864,0.4389201783160425,0.3132272403217008,0.33716321498879215,0.10665825766922493,0.17600055943202753,0.36996818002629395,0.30653188432976025,0.33436844680847116,0.2574542933464463,0.3192919073040255,0.1420386705201597,0.05097755885658826,0.12168982095810069,0.2706613983663487,0.09316337627495518,0.15620365386283103,0.8069634664710569,0.6983598761678144,0.44923032653982375,0.2387128814105742,0.22197000973097328,0.7127030372777906,0.10474359495124551,0.13621152228342717,0.5349355967526331,0.2658777137236622,0.6397046055537888,0.3459330651678563,0.4304232242853876,0.32684835665748235,0.10913728419122211,0.43699413831600425,0.3598893992415163,0.29246223732453,0.051317316923840686,0.20844789302492517,0.37104369203897725,0.278292963567693,0.425046553979898,0.33420613340247807,0.04709278125453314,0.3981648883015553,0.04674394442613701,0.11075621387116959,0.29882561619389625,0.36012254901312196,0.6564345317662453,0.0666820483939754,0.39807899598224283,0.03612171083183509,0.034164842038715476,0.7018112773840739,0.38330368302557943,0.2911971161340599,0.1438089087710692,0.424333702550878,0.181842500805906,0.08649921626901673,0.4098804303198392,0.2571505932908212,1.0,0.2643493830387827,0.09602086174943542,3.707389488953734e-09,0.14339987782041502
CNP,0.062265468363086975,0.378968151053485,0.40811686015968696,0.7845073021686859,0.9110111461804262,0.5267840118864158,0.9195276893732304,0.1455967567229379,0.21025834551576447,0.9674090453136863,0.005718487444311372,0.9622305698748482,0.9152161628567015,0.5996527718807709,0.7820622330380331,0.8763732254231028,0.33237695087264896,0.6279294743048031,0.14868960922910646,0.025745168326414398,6.679315733959342e-10,0.9822209742260364,0.7743443694122122,0.10056852277726741,0.38203968182111037,0.1932788736770986,0.8575934144966372,0.8434645421268071,0.7990811590884371,0.3692917381071508,0.7927435454650559,0.3137436399612284,0.9587647784860666,0.8557729371751721,9.738500403027506e-05,0.9211395916063588,0.853580202782353,0.985245012068295,0.024230846598146106,0.0899008253582409,0.8327495857689625,0.47053999292191223,0.90086768935143,0.5653780892073315,0.9870164863542679,0.16668827183760548,0.021833382642292676,0.13572192900675734,0.5105880219382531,0.0509466106803626,0.6488378303398757,0.17248541340639753,0.5868587597308434,0.7867108316253139,0.4633040573037429,0.40079288673429325,0.6979018235616088,0.2000991167334193,0.1629925846907822,0.865090698269401,0.2379748104475475,0.6073033429991612,0.9835862106858623,0.9348412669138156,0.8477384505121232,0.10280141718008208,0.7576273389475088,0.8040841802975632,0.7757303992445379,0.010612856341305179,0.335519655086892,0.8842638645490312,0.9946742044162304,0.5350498812567471,0.8984178661982509,0.19316617708623238,0.6397331637212613,0.1433149829096647,0.06242390104066955,0.786354724123015,0.9647706710139402,0.7751507118490605,0.033838842479713215,0.9561071695757353,0.017110357473293394,0.020318778875622633,0.5543679417976595,0.8032341429759046,0.9171330259706675,0.6618140265033378,0.6851286383414604,0.8537426862711456,0.16691989312462727,0.670685478114496,0.9223593225240169,0.2643493830387827,1.0,0.08130877517355146,1.0991856207095538e-09,0.18591428187866038
COF,0.988133918673167,0.6747731272079919,0.666034744539115,0.3037962850962106,0.16821048255093404,0.38287347620932954,0.1443429244664696,0.7405196486661009,0.8380101942190619,0.13282078821005974,0.5177574847168883,0.048798822298556185,0.03709360152329744,0.46849499209441214,0.27731785796272185,0.12807405503869948,0.7400614541970587,0.40950237273348716,0.8810355708612772,0.3675818443578516,1.8128143147616563e-14,0.12207535436830999,0.30181154573213714,0.00016756476067782678,0.0022573764997243285,0.0003759653967019879,0.23676442126566458,0.021381771837752604,0.28857949718379816,0.0021988402617829704,0.29431423244266314,0.6637333375541424,0.08453436915150872,0.02972619832489031,0.09595598194758327,0.15193278970142635,0.24433585288313026,0.08053820370027019,0.7205730362003723,0.9295032577618072,0.259530594256407,0.5973319105153599,0.20361450556964933,0.0078484168020816,0.07268875215840785,0.0007297369133436971,0.8532001917811777,0.9680706645208611,0.5561230671098304,0.9609084569751819,0.007505929132099551,0.019016372332872674,0.28715600525533763,0.035012627996109165,0.600437623081532,0.0036553300030514745,0.08374136077722553,0.000676170618284169,0.9416193020591846,0.14975291942846622,0.8358154663026823,0.0364960332090732,0.10393265896357107,0.07832691798606466,0.029079032546255695,0.9939793131278041,0.3070895471729823,0.2853852199609084,0.30826779514570035,0.6383221841351052,0.7433863641346464,0.04057014417817096,0.06843896694911805,0.013047237269632557,0.20580248160418388,0.00036924745981584855,0.41976914781067903,0.0002354514653329542,0.9693410311309881,0.3000997512381429,0.06808161047475762,0.12177902698019101,0.9229285641140013,0.08007403348465572,0.8247591477323395,2.5468197831441185e-05,0.3071212987796301,0.2825911142245216,0.03646356929863531,0.007648942123003109,0.3726771061044912,0.020117614136178314,0.00045494628475132237,0.3895781261361301,0.03406868297478638,0.09602086174943542,0.08130877517355146,1.0,1.1037870275554813e-15,0.9149946457319165
COO,7.214527647491477e-16,9.073238056066172e-13,5.064137878482454e-13,2.518323890152366e-11,3.923673059447458e-10,4.0406487933338375e-11,7.152603357015711e-10,2.0505868416899167e-13,1.272868035495151e-13,5.014280606805992e-10,1.534109073816556e-17,6.277400337859341e-09,1.4918176542201488e-08,3.2788354908131484e-12,8.226919574169606e-11,1.4918126313504588e-09,3.7195874683008965e-13,1.777286432259181e-11,4.8013015101112816e-14,6.882699183096814e-14,0.11763259523695294,4.1864701862807883e-10,4.5054416985700024e-11,0.00010413987228269325,2.974511085528881e-06,1.629428854069085e-05,8.856747000056483e-11,3.65783149708744e-08,4.1237301086803827e-11,3.4379590140871196e-06,3.776743973650628e-11,1.3415423957658435e-12,2.7590001198743548e-09,3.247871175673119e-08,2.7232451070583017e-21,5.656526530568637e-10,4.858414459984596e-11,2.1236750260524698e-09,7.494780176469337e-16,7.994661436671174e-15,6.095675078855642e-11,1.323589585115622e-12,1.0861843585313053e-10,5.818383065490954e-07,2.5161578040238923e-09,3.085628631845146e-05,5.3973755670746605e-17,4.646310667165408e-15,1.320792820583121e-12,6.040767393942636e-16,2.1204271542564707e-07,1.6172602168614814e-07,1.51010796193279e-10,4.250190057773445e-08,6.538419800450114e-13,2.504302469197377e-06,8.664733047530823e-09,2.218763719872258e-05,8.791833499001836e-15,9.197877636248674e-10,1.271285867364305e-13,6.742687925563478e-08,1.0429040528587222e-09,4.12949417625414e-09,3.547405173237148e-08,2.1862417317282155e-15,4.999247817063271e-11,4.0391982871207924e-11,1.7457898907866626e-11,4.9281973482109713e-17,1.5221426697976468e-13,1.9115411400191524e-08,2.1166962465229707e-09,4.371492131320158e-07,1.046069734001748e-10,1.5792787658199166e-05,1.1911381265171093e-11,4.0464812979378e-05,1.2351498681282029e-15,2.0448218926532468e-11,4.1061083160460965e-09,2.566282572958546e-09,1.5914235914256334e-16,3.2321973523733748e-09,1.7044895941346108e-17,0.001046751033180292,1.1525944374917259e-10,4.918408117203988e-11,1.4565840361488573e-08,1.649476787296711e-07,2.2302747069114998e-11,2.2991126274066627e-08,3.469680384975051e-05,1.724591950174952e-11,1.2954089533781661e-08,3.707389488953734e-09,1.0991856207095538e-09,1.1037870275554813e-15,1.0,1.3194974729418954e-14
