,RBF-DivMom (excess),RBF-Graph (excess),S&P 500 (excess)
CAGR,0.3756,2.8566,1.1589
Vol,0.1248,0.2247,0.1809
Sharpe,2.6196,6.1845,4.3654
MaxDD,-0.0353,-0.0195,-0.0269
