,weight
AXON,0.43509289522755734
VST,0.267073229268149
NRG,0.18482473465260776
META,0.11300914085168602
RCL,0.0
MPWR,0.0
RSG,0.0
ROL,0.0
DIS,0.0
PODD,0.0
MNST,0.0
TTWO,0.0
MPC,0.0
EQT,0.0
NVDA,0.0
TPR,0.0
BA,0.0
IBKR,0.0
CVS,0.0
HCA,0.0
ABT,0.0
CTAS,0.0
LH,0.0
NDAQ,0.0
GILD,0.0
WELL,0.0
TDG,0.0
RMD,0.0
JPM,0.0
TEL,0.0
T,0.0
FAST,0.0
FSLR,0.0
STE,0.0
SCHW,0.0
DE,0.0
APTV,0.0
HAS,0.0
DGX,0.0
TKO,0.0
TT,0.0
MSFT,0.0
DLTR,0.0
NFLX,0.0
IDXX,0.0
JCI,0.0
JBL,0.0
VRSN,0.0
GE,0.0
KLAC,0.0
CAH,0.0
MOS,0.0
RL,0.0
NEM,0.0
PM,0.0
APH,0.0
ORCL,0.0
DG,0.0
HWM,0.0
STX,0.0
CF,0.0
PWR,0.0
AVGO,0.0
ULTA,0.0
RTX,0.0
IBM,0.0
ROK,0.0
MCK,0.0
COR,0.0
DRI,0.0
HII,0.0
LRCX,0.0
WRB,0.0
MU,0.0
EBAY,0.0
MCHP,0.0
LHX,0.0
INTU,0.0
WDC,0.0
BKNG,0.0
