,weight
VLO,0.20205766459545083
OXY,0.20135934363966723
EQT,0.17326249893787019
APA,0.12643725910832146
TKO,0.1042810794629754
PSX,0.10188288289422198
LW,0.09755281190178998
T,0.08991587857976877
MNST,0.07131097508873782
CTRA,0.06510675405184728
TPL,0.06454004061384282
HAL,0.052670121752503324
LKQ,0.01686486034110158
ALB,-0.004179619941451197
STLD,-0.007746436620767631
UAL,-0.05364887021520147
DECK,-0.05704001789648555
EPAM,-0.06488507373863313
CSGP,-0.08245068661807754
WSM,-0.09729146593748203
