,RBF-DivMom (excess),RBF-Graph (excess),S&P 500 (excess)
CAGR,-0.6874,-0.5452,-0.4556
Vol,0.4444,0.4572,0.2713
Sharpe,-2.3719,-1.4911,-2.1045
MaxDD,-0.272,-0.214,-0.1933
