,weight
SMCI,0.4752522368046769
AMD,0.12629001748295168
WSM,0.11873746052137296
ERIE,0.10401831756400838
LLY,0.0981348663395498
BLDR,0.05680523359887477
FANG,0.011141568495424562
DELL,0.00692884479475769
DECK,0.0026914543983832732
CRM,0.0
HIG,0.0
PH,0.0
WDC,0.0
TRGP,0.0
FAST,0.0
LDOS,0.0
IBKR,0.0
UHS,0.0
EW,0.0
VMC,0.0
MAS,0.0
CDNS,0.0
STLD,0.0
ALL,0.0
WRB,0.0
HLT,0.0
NTAP,0.0
ISRG,0.0
GM,0.0
VLO,0.0
WFC,0.0
WM,0.0
CAT,0.0
DXCM,0.0
HCA,0.0
PWR,0.0
AZO,0.0
PSX,0.0
LEN,0.0
HII,0.0
AMZN,0.0
C,0.0
MHK,0.0
TGT,0.0
PHM,0.0
HUBB,0.0
AVGO,0.0
LRCX,0.0
AXON,0.0
ETN,0.0
AMAT,0.0
URI,0.0
MU,0.0
TPR,0.0
NFLX,0.0
RL,0.0
GE,0.0
ANET,0.0
NRG,0.0
META,0.0
VST,0.0
KKR,0.0
CMG,0.0
KLAC,0.0
QCOM,0.0
NVDA,0.0
TDG,0.0
DVA,0.0
AXP,0.0
MLM,0.0
MPC,0.0
TT,0.0
GDDY,0.0
DIS,0.0
PCAR,0.0
GWW,0.0
XYZ,0.0
PGR,0.0
HWM,0.0
GRMN,0.0
