,RBF-DivMom (excess),RBF-Graph (excess),S&P 500 (excess)
CAGR,0.6838,4.821,0.4022
Vol,0.1744,0.4638,0.0776
Sharpe,3.0829,4.0688,4.4063
MaxDD,-0.0297,-0.0933,-0.0059
